election,group,salurans,clusters,coverage,reported
SE-15,Malay,656,217,24.6,True
SE-15,Chinese,76,36,3.5,True
SE-15,Indian,0,0,0.0,False
SE-15,Other,4,3,1.7,False
SE-15,18-29,562,344,57.7,True
SE-15,30-39,198,180,23.7,True
SE-15,40-49,134,118,18.6,True
SE-15,50-59,78,75,11.6,True
SE-15,60-69,71,70,10.9,True
SE-15,70+,23,23,4.4,True
GE-15,Malay,655,217,24.4,True
GE-15,Chinese,75,35,3.4,True
GE-15,Indian,0,0,0.0,False
GE-15,Other,5,4,1.8,False
GE-15,18-29,604,355,58.7,True
GE-15,30-39,192,171,22.9,True
GE-15,40-49,135,118,18.5,True
GE-15,50-59,89,85,12.9,True
GE-15,60-69,83,82,12.6,True
GE-15,70+,19,19,3.7,True
SE-16,Malay,688,224,24.5,True
SE-16,Chinese,65,32,2.8,True
SE-16,Indian,0,0,0.0,False
SE-16,Other,1,1,0.5,False
SE-16,18-29,536,310,56.0,True
SE-16,30-39,231,187,26.5,True
SE-16,40-49,144,129,18.8,True
SE-16,50-59,89,83,13.8,True
SE-16,60-69,74,72,10.4,True
SE-16,70+,29,29,4.4,True
