dim,group,estimand,registered,reconciled,ci_lo,ci_hi,bound_lo,bound_hi,bound_width,model_min,model_max,model_range,capped,m2_raw,reliability
ethnicity,Malay,turnout,1379473,0.7776321420493914,0.765543355853624,0.7875339606589642,0.5816786555445449,0.9178874831185532,0.3362088275740083,0.7862889967659583,0.8010293546350414,0.01474035786908312,0.7862891647693747,0.7862891647693747,good
ethnicity,Malay,BN,1379473,0.3642503481084921,0.3427394341354727,0.3928608137123546,0.1639604399651171,0.4076875734429017,0.24372713347778457,0.1759135331244051,0.3666892541895076,0.1907757210651025,0.3666856172575977,0.3666856172575977,moderate - specification-sensitive
ethnicity,Malay,PH,1379473,0.0626632022308471,0.0503719213793358,0.0776343882732435,0.0158973753020175,0.3758674508308607,0.3599700755288432,0.0540470752107031,0.0661861613642287,0.012139086153525595,0.0566844703160165,0.0566844703160165,good
ethnicity,Malay,PN,1379473,0.3412714518093016,0.3141367257287571,0.3638151324542822,0.139551843348873,0.361222727809823,0.22167088446095,0.3150178662620774,0.3384222694399006,0.02340440317782322,0.3383943819844961,0.3383943819844961,good
ethnicity,Chinese,turnout,959182,0.6957484439425052,0.6779755975900583,0.7084113550168156,0.4687223071325359,0.9429232408448032,0.4742009337122673,0.6723473307529587,0.6907699601708717,0.01842262941791295,0.6884321829778612,0.6884321829778612,good
ethnicity,Chinese,BN,959182,0.0576135519351726,0.0427817460877218,0.0739188985441618,0.0057893079728351,0.308742240784335,0.3029529328114999,0.0566295018551745,0.1762321318914229,0.1196026300362484,0.0566295018551745,0.0566295018551745,moderate - specification-sensitive
ethnicity,Chinese,PH,959182,0.626453816466359,0.6056491426706229,0.644289398161566,0.2083640018265563,0.7693649380409557,0.5610009362143995,0.6277780830130097,0.6390951907552976,0.01131710774228789,0.6277780830130097,0.6277780830130097,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Chinese,PN,959182,0.0026618876609301,0.0005371501108613,0.0064901552854174,0.0002137237771351,0.2636903111192662,0.26347658734213114,0.0023873074031167,0.0155353496994855,0.0131480422963688,0.0023932080617551,0.0023932080617551,good
ethnicity,Indian,turnout,186910,0.686616443432559,0.624280565768051,0.7327231349310533,0.0393932908886629,0.9985501043282864,0.9591568134396234,0.6484015280649126,0.6719341153232107,0.0235325872582981,0.671930962401555,0.671930962401555,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Indian,BN,186910,0.0562542803495697,0.0010379358777767,0.1416850397601202,0.0011556364025466,0.7936600502915842,0.7925044138890376,0.0554771880575412,0.2881907378912427,0.23271354983370152,0.0555098371991199,0.0555098371991199,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Indian,PH,186910,0.6231482120463793,0.5073554470646868,0.7082842037096198,0.003033545556685,0.9765448611631268,0.9735113156064418,0.598943937314405,0.6399891911862853,0.041045253871880294,0.6399785187180626,0.6399785187180626,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Indian,PN,186910,0.0003502881959723,0.0001035263048047,0.0127373386516745,0.0,0.6881761275480177,0.6881761275480177,9.44582601698364e-10,0.0181039089228121,0.018103907978229496,0.0003378685613267,0.0003378685613267,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Other,turnout,67997,0.6453165979537617,0.5224302736870142,0.6980412034320611,0.0352221421533302,0.9919555274497404,0.9567333852964102,0.5461579577898672,0.6142141774665031,0.06805621967663589,0.6142063993992251,0.6142063993992251,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Other,BN,67997,0.0964323430638509,0.0006330132496482,0.2269924155124705,0.0127799755871582,0.9338794358574642,0.9210994602703061,0.0938385347229802,0.2699174685147566,0.17607893379177642,0.1002770561712772,0.1002770561712772,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Other,PH,67997,0.170565576857562,0.0942609916453644,0.247001029341569,0.0041913613835904,0.8941865082283041,0.8899951468447137,0.0993129439872948,0.1795071787807,0.08019423479340519,0.1795071787807,0.1795071787807,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Other,PN,67997,0.3742450322980842,0.145139659637366,0.5024498241322453,0.0024265776431313,0.945806432636734,0.9433798549936028,0.427620505711163,0.5946182872112737,0.16699778150011074,0.427620505711163,0.427620505711163,"weak - bounds near-vacuous, driven by assumption"
age,18-29,turnout,712706,0.7408669152950814,0.7319232465965754,0.7520561382056776,0.6351090070800582,0.8296211902243,0.1945121831442418,0.7412122986110821,0.8158233090934025,0.07461101048232044,0.7412122986110821,0.7412122986110821,moderate - specification-sensitive
age,18-29,BN,712706,0.1767509660307662,0.158713702043147,0.212372916785744,0.1088344983766097,0.2621585899375058,0.1533240915608961,0.1762310671460982,0.2346206211017693,0.05838955395567108,0.1762314147400424,0.1762314147400424,moderate - specification-sensitive
age,18-29,PH,712706,0.3030563876967491,0.2608759445076948,0.3357226614935716,0.2187998978540941,0.3845947697928739,0.1657948719387798,0.1213490693327476,0.3032079595021055,0.1818588901693579,0.3032079595021055,0.3032079595021055,moderate - specification-sensitive
age,18-29,PN,712706,0.2557987880403279,0.2271961518462597,0.2855442574712525,0.1705934845504317,0.3371249856181932,0.16653150106776152,0.255459936397539,0.3181282335013903,0.0626682971038513,0.2554599868820948,0.2554599868820948,moderate - specification-sensitive
age,30-39,turnout,556274,0.6992538770058526,0.6895704401089693,0.7107615856665978,0.4890072158684389,0.895758205488662,0.4067509896202231,0.6423839306086196,0.698707626757756,0.05632369614913635,0.6984068088658394,0.6984068088658394,moderate - specification-sensitive
age,30-39,BN,556274,0.2035345876930999,0.1824494790513397,0.2375363913221311,0.0600477462545436,0.3783638998047725,0.31831615355022885,0.0668292578489595,0.2058609501942845,0.13903169234532498,0.2058609501942845,0.2058609501942845,moderate - specification-sensitive
age,30-39,PH,556274,0.2614813419096756,0.2211755987951065,0.2973450816211836,0.1186429709100191,0.4666603148807962,0.3480173439707771,0.2591389927111125,0.3552113449240308,0.09607235221291827,0.259139368275445,0.259139368275445,moderate - specification-sensitive
age,30-39,PN,556274,0.2284250746345924,0.2010926287241969,0.2592114486910087,0.0744489226532248,0.4145744722924314,0.3401255496392066,0.1129645884384848,0.2309050193000926,0.11794043086160781,0.2309050193000926,0.2309050193000926,moderate - specification-sensitive
age,40-49,turnout,459441,0.7503515295936641,0.7375913927155939,0.7609425340487147,0.5145143772540979,0.9337695155634782,0.4192551383093803,0.7458985420535996,0.750757837702204,0.004859295648604323,0.7507574610606456,0.7507574610606456,good
age,40-49,BN,459441,0.2092357349040348,0.1851825061276707,0.2486992245795854,0.0495536967749939,0.4196556249877569,0.370101928212763,0.1822572185201099,0.2075714956345368,0.02531427711442691,0.2075714956345368,0.2075714956345368,good
age,40-49,PH,459441,0.3407358700235541,0.2860357875006059,0.3846673794116094,0.1459817473843213,0.5479114837378466,0.4019297363535253,0.3416742269860158,0.3458320149092767,0.0041577879232608805,0.3424139893158546,0.3424139893158546,good
age,40-49,PN,459441,0.1923501035573885,0.1666501703699398,0.2240213954028675,0.0430610241576176,0.3848045777368585,0.3417435535792409,0.1486266735347938,0.1905539761897269,0.04192730265493308,0.1905539761897269,0.1905539761897269,good
age,50-59,turnout,382649,0.8021136898526117,0.7914748097482407,0.8135072824614568,0.5545160185966773,0.9624041876497784,0.4078881690531011,0.796670564455902,0.8025995040430126,0.005928939587110604,0.8025989256849265,0.8025989256849265,good
age,50-59,BN,382649,0.2540666341144261,0.2349091741399035,0.2901881269351017,0.0539946530632511,0.4824133866807439,0.42841873361749283,0.2505618642472133,0.2578182108752128,0.00725634662799951,0.2531066899728508,0.2531066899728508,good
age,50-59,PH,382649,0.3744505805990093,0.3279487843272232,0.4065117962249858,0.1639047795760605,0.5955640809201121,0.4316593013440516,0.3729578480736247,0.3779024724507497,0.0049446243771250065,0.3761692777955558,0.3761692777955558,good
age,50-59,PN,382649,0.1623199967383022,0.1380977332368077,0.1863534530151036,0.0252241610457625,0.3372751529469566,0.3120509919011941,0.1544691862088572,0.1640861328255752,0.009616946616717997,0.1617065811526231,0.1617065811526231,good
age,60-69,turnout,283387,0.8051444038183657,0.7935027518246485,0.8170622973066662,0.4844788222466097,0.9621753997184064,0.47769657747179667,0.8048762966970316,0.8077688069846621,0.00289251028763049,0.8048762966970316,0.8048762966970316,good
age,60-69,BN,283387,0.3139227945702904,0.2820691829345953,0.3604731965775958,0.0671696302229813,0.5496723561772417,0.48250272595426047,0.3159126042400625,0.32351394828322,0.0076013440431574875,0.31591275442034,0.31591275442034,good
age,60-69,PH,283387,0.3698008286600741,0.3206861911654321,0.4077842405277632,0.1388454657411949,0.599346476726173,0.4605010109849781,0.360630569233983,0.3726209743581665,0.011990405124183479,0.372620805706284,0.372620805706284,good
age,60-69,PN,283387,0.1066150538512632,0.090762028941274,0.1240915997866422,0.0124070617212504,0.2615963329298803,0.24918927120862994,0.1062770851736494,0.1069322341787407,0.00065514900509131,0.1063987131855403,0.1063987131855403,good
age,70+,turnout,199105,0.5798560433380416,0.5557260548081515,0.6037081087352065,0.3692222696567138,0.8925391125285653,0.5233168428718515,0.5676840823058973,0.5787871277161932,0.011103045410295942,0.5787871277161932,0.5787871277161932,"weak - bounds near-vacuous, driven by assumption"
age,70+,BN,199105,0.2677133624343865,0.2345291583250846,0.3090893783362176,0.044931066522689,0.5202832676226112,0.4753522010999222,0.2282234285831659,0.2650592041078045,0.03683577552463857,0.2650592041078045,0.2650592041078045,good
age,70+,PH,199105,0.2477220845992007,0.2104403310636287,0.2764833885096457,0.0915195499861881,0.5171944451420105,0.4256748951558224,0.2442627780935487,0.25618059050837,0.011917812414821288,0.2442644066819996,0.2442644066819996,good
age,70+,PN,199105,0.0440285797818948,0.0320190547083814,0.0576108983781532,0.0003917530951005,0.2257853896185429,0.22539363652344238,0.0259300356566863,0.0428427649596005,0.016912729302914202,0.0428427649596005,0.0428427649596005,good
