cluster,dim,group,estimand,registered,lo,hi
P.140 Segamat,ethnicity,Malay,turnout,31698,0.5644520159000568,0.8912865164994637
P.140 Segamat,ethnicity,Chinese,turnout,29593,0.5139728989963843,0.8863244686243368
P.140 Segamat,ethnicity,Indian,turnout,6401,0.10342134041556007,0.9957819090767067
P.140 Segamat,ethnicity,Other,turnout,775,0.0,1.0
P.140 Segamat,ethnicity,Malay,BN,31698,0.2689444128967127,0.5113256356867941
P.140 Segamat,ethnicity,Chinese,BN,29593,0.005845977089176495,0.23637346669820566
P.140 Segamat,ethnicity,Indian,BN,6401,0.005467895641306046,0.7789407905014841
P.140 Segamat,ethnicity,Other,BN,775,0.0,1.0
P.140 Segamat,ethnicity,Malay,PH,31698,0.016941131932614047,0.3376553725787116
P.140 Segamat,ethnicity,Chinese,PH,29593,0.31406075761159735,0.7317946811746021
P.140 Segamat,ethnicity,Indian,PH,6401,0.0026558350257772224,0.8982971410717075
P.140 Segamat,ethnicity,Other,PH,775,0.0,0.8309677419354838
P.140 Segamat,ethnicity,Malay,PN,31698,0.1108587292573664,0.24850148274339076
P.140 Segamat,ethnicity,Chinese,PN,29593,0.0,0.1206704288176258
P.140 Segamat,ethnicity,Indian,PN,6401,0.0,0.451804405561631
P.140 Segamat,ethnicity,Other,PN,775,0.0,0.9961290322580645
P.140 Segamat,age,18-29,turnout,15670,0.544416081684748,0.84639438417358
P.140 Segamat,age,30-39,turnout,15210,0.4307692307692308,0.8735042735042735
P.140 Segamat,age,40-49,turnout,11140,0.36669658886894074,0.9429084380610413
P.140 Segamat,age,50-59,turnout,9992,0.4253402722177742,0.98628903122498
P.140 Segamat,age,60-69,turnout,9708,0.47167284713638236,0.9600329625051504
P.140 Segamat,age,70+,turnout,6747,0.3715725507633022,0.9371572550763302
P.140 Segamat,age,18-29,BN,15670,0.09572431397574985,0.378940650925335
P.140 Segamat,age,30-39,BN,15210,0.07534516765285997,0.43162393162393164
P.140 Segamat,age,40-49,BN,11140,0.0296229802513465,0.46885098743267506
P.140 Segamat,age,50-59,BN,9992,0.018514811849479583,0.5615492393915132
P.140 Segamat,age,60-69,BN,9708,0.08240626287597858,0.5392459826946848
P.140 Segamat,age,70+,BN,6747,0.020157106862309173,0.4886616273899511
P.140 Segamat,age,18-29,PH,15670,0.1860880663688577,0.40944479897894065
P.140 Segamat,age,30-39,PH,15210,0.12813938198553584,0.47758053911900067
P.140 Segamat,age,40-49,PH,11140,0.1518850987432675,0.6466786355475763
P.140 Segamat,age,50-59,PH,9992,0.1450160128102482,0.6726381104883907
P.140 Segamat,age,60-69,PH,9708,0.19241862381540997,0.622991347342398
P.140 Segamat,age,70+,PH,6747,0.16955684007707128,0.6422113531940121
P.140 Segamat,age,18-29,PN,15670,0.07185705169112955,0.29227823867262287
P.140 Segamat,age,30-39,PN,15210,0.04575936883629191,0.321827744904668
P.140 Segamat,age,40-49,PN,11140,0.0037701974865350088,0.30763016157989226
P.140 Segamat,age,50-59,PN,9992,0.00040032025620496394,0.23839071257005603
P.140 Segamat,age,60-69,PN,9708,0.005150391429748661,0.17408323032550474
P.140 Segamat,age,70+,PN,6747,0.0,0.18008003557136504
P.141 Sekijang,ethnicity,Malay,turnout,37015,0.6037552343644469,0.9066324463055518
P.141 Sekijang,ethnicity,Chinese,turnout,23358,0.47371350286839625,0.949439164312013
P.141 Sekijang,ethnicity,Indian,turnout,2593,0.0019282684149633628,1.0
P.141 Sekijang,ethnicity,Other,turnout,1012,0.0,1.0
P.141 Sekijang,ethnicity,Malay,BN,37015,0.24071322436849926,0.4482777252465217
P.141 Sekijang,ethnicity,Chinese,BN,23358,0.0010274852298998202,0.2936467163284528
P.141 Sekijang,ethnicity,Indian,BN,2593,0.0,0.9691477053605861
P.141 Sekijang,ethnicity,Other,BN,1012,0.0,1.0
P.141 Sekijang,ethnicity,Malay,PH,37015,0.013481021207618533,0.3424287451033365
P.141 Sekijang,ethnicity,Chinese,PH,23358,0.2050261152495933,0.7548163370151554
P.141 Sekijang,ethnicity,Indian,PH,2593,0.0,0.9830312379483224
P.141 Sekijang,ethnicity,Other,PH,1012,0.0,0.924901185770751
P.141 Sekijang,ethnicity,Malay,PN,37015,0.13235174929082805,0.30409293529650144
P.141 Sekijang,ethnicity,Chinese,PN,23358,0.0,0.23850500899049576
P.141 Sekijang,ethnicity,Indian,PN,2593,0.0,0.8650212109525646
P.141 Sekijang,ethnicity,Other,PN,1012,0.0,1.0
P.141 Sekijang,age,18-29,turnout,16880,0.633175355450237,0.8321682464454976
P.141 Sekijang,age,30-39,turnout,14839,0.4786036794932273,0.877619785699845
P.141 Sekijang,age,40-49,turnout,11494,0.5110492430833479,0.9292674438837655
P.141 Sekijang,age,50-59,turnout,8296,0.47770009643201544,0.978182256509161
P.141 Sekijang,age,60-69,turnout,7265,0.5147969717825189,0.9976600137646249
P.141 Sekijang,age,70+,turnout,5204,0.4240968485780169,0.9506149116064566
P.141 Sekijang,age,18-29,BN,16880,0.12843601895734597,0.282760663507109
P.141 Sekijang,age,30-39,BN,14839,0.08457443223936922,0.40501381494709887
P.141 Sekijang,age,40-49,BN,11494,0.08012876283278232,0.46937532625717765
P.141 Sekijang,age,50-59,BN,8296,0.051711668273866924,0.5824493731918997
P.141 Sekijang,age,60-69,BN,7265,0.10681348933241569,0.6474879559532003
P.141 Sekijang,age,70+,BN,5204,0.10261337432744043,0.6247117601844735
P.141 Sekijang,age,18-29,PH,16880,0.20082938388625593,0.37191943127962085
P.141 Sekijang,age,30-39,PH,14839,0.11254127636633196,0.44288698699373275
P.141 Sekijang,age,40-49,PH,11494,0.09526709587610928,0.4746824430137463
P.141 Sekijang,age,50-59,PH,8296,0.12319189971070395,0.6447685631629702
P.141 Sekijang,age,60-69,PH,7265,0.10956641431520991,0.6092222986923607
P.141 Sekijang,age,70+,PH,5204,0.06437355880092237,0.5013451191391237
P.141 Sekijang,age,18-29,PN,16880,0.14336492890995262,0.3090047393364929
P.141 Sekijang,age,30-39,PN,14839,0.08477660219691353,0.39854437630568096
P.141 Sekijang,age,40-49,PN,11494,0.04410997041934923,0.3552288150339307
P.141 Sekijang,age,50-59,PN,8296,0.0059064609450337514,0.3634281581485053
P.141 Sekijang,age,60-69,PN,7265,0.004267033723331039,0.23551273227804542
P.141 Sekijang,age,70+,PN,5204,0.0034588777863182167,0.23251345119139125
P.142 Labis,ethnicity,Malay,turnout,18762,0.4596524890736595,0.8945208399957361
P.142 Labis,ethnicity,Chinese,turnout,21731,0.46136855183838754,0.9018452901385118
P.142 Labis,ethnicity,Indian,turnout,7646,0.1759089720115093,0.9680878890923359
P.142 Labis,ethnicity,Other,turnout,1663,0.2772098616957306,0.9290438965724594
P.142 Labis,ethnicity,Malay,BN,18762,0.20472231105425862,0.5820808016202963
P.142 Labis,ethnicity,Chinese,BN,21731,0.02715015415765496,0.3350052919792002
P.142 Labis,ethnicity,Indian,BN,7646,0.023672508501177088,0.6676693696050222
P.142 Labis,ethnicity,Other,BN,1663,0.15273601924233313,0.8045700541190619
P.142 Labis,ethnicity,Malay,PH,18762,0.01817503464449419,0.4299648225135913
P.142 Labis,ethnicity,Chinese,PH,21731,0.19110947494362893,0.6537204914638075
P.142 Labis,ethnicity,Indian,PH,7646,0.04642950562385561,0.8395239340831807
P.142 Labis,ethnicity,Other,PH,1663,0.09621166566446182,0.5862898376428142
P.142 Labis,ethnicity,Malay,PN,18762,0.11848417013111609,0.27363820488220875
P.142 Labis,ethnicity,Chinese,PN,21731,4.6017210436703324e-05,0.11011918457503106
P.142 Labis,ethnicity,Indian,PN,7646,0.0,0.2733455401517133
P.142 Labis,ethnicity,Other,PN,1663,0.004810583283223091,0.5808779314491882
P.142 Labis,age,18-29,turnout,11010,0.46185286103542234,0.848410535876476
P.142 Labis,age,30-39,turnout,10327,0.28197927762176817,0.9425777089183693
P.142 Labis,age,40-49,turnout,8920,0.30964125560538114,0.9922645739910314
P.142 Labis,age,50-59,turnout,7983,0.3943379681823876,1.0
P.142 Labis,age,60-69,turnout,6321,0.30422401518747033,1.0
P.142 Labis,age,70+,turnout,5241,0.31520702156077085,0.9652738027094065
P.142 Labis,age,18-29,BN,11010,0.09936421435059037,0.3736603088101726
P.142 Labis,age,30-39,BN,10327,0.011910525806139247,0.47216035634743875
P.142 Labis,age,40-49,BN,8920,0.001233183856502242,0.534865470852018
P.142 Labis,age,50-59,BN,7983,0.04409369911061005,0.6332205937617437
P.142 Labis,age,60-69,BN,6321,0.006328112640404999,0.7327954437588989
P.142 Labis,age,70+,BN,5241,0.010684983781721046,0.6618965846212554
P.142 Labis,age,18-29,PH,11010,0.13387829246139873,0.47129881925522255
P.142 Labis,age,30-39,PH,10327,0.055098286046286436,0.6164423356250606
P.142 Labis,age,40-49,PH,8920,0.050672645739910316,0.7016816143497758
P.142 Labis,age,50-59,PH,7983,0.04935487911812602,0.7168984091193786
P.142 Labis,age,60-69,PH,6321,0.032906185730105994,0.7527289985761747
P.142 Labis,age,70+,PH,5241,0.04273993512688418,0.6391909940850983
P.142 Labis,age,18-29,PN,11010,0.07193460490463215,0.24813805631244323
P.142 Labis,age,30-39,PN,10327,0.00726251573545076,0.29592330783383364
P.142 Labis,age,40-49,PN,8920,0.0,0.2761210762331839
P.142 Labis,age,50-59,PN,7983,0.007390705248653389,0.2230990855568082
P.142 Labis,age,60-69,PN,6321,0.0,0.16484733428255022
P.142 Labis,age,70+,PN,5241,0.0,0.1530242320167907
P.143 Pagoh,ethnicity,Malay,turnout,46187,0.6771385887803928,0.9076579990040488
P.143 Pagoh,ethnicity,Chinese,turnout,20443,0.45878784914151544,0.9518172479577361
P.143 Pagoh,ethnicity,Indian,turnout,2359,0.032640949554896145,1.0
P.143 Pagoh,ethnicity,Other,turnout,846,0.0,1.0
P.143 Pagoh,ethnicity,Malay,BN,46187,0.13917336046939616,0.29999783488860504
P.143 Pagoh,ethnicity,Chinese,BN,20443,0.006065645942376363,0.3272024653915766
P.143 Pagoh,ethnicity,Indian,BN,2359,0.0,0.8859686307757524
P.143 Pagoh,ethnicity,Other,BN,846,0.0,0.9598108747044918
P.143 Pagoh,ethnicity,Malay,PH,46187,0.007253123173187261,0.23623530430640657
P.143 Pagoh,ethnicity,Chinese,PH,20443,0.15173898155847967,0.6912879714327643
P.143 Pagoh,ethnicity,Indian,PH,2359,0.0,0.9516744383213226
P.143 Pagoh,ethnicity,Other,PH,846,0.0,0.7801418439716312
P.143 Pagoh,ethnicity,Malay,PN,46187,0.28884751120445146,0.5252993266503562
P.143 Pagoh,ethnicity,Chinese,PN,20443,0.0005380814948882258,0.4577606026512743
