dim,group,estimand,registered,lo,hi,width
ethnicity,Malay,turnout,1379473,0.5816786555445449,0.9178874831185533,0.3362088275740084
ethnicity,Chinese,turnout,959182,0.4687223071325359,0.9429232408448032,0.4742009337122673
ethnicity,Indian,turnout,186910,0.039393290888662995,0.9985501043282864,0.9591568134396234
ethnicity,Other,turnout,67997,0.03522214215333029,0.9919555274497405,0.9567333852964102
ethnicity,Malay,BN,1379473,0.1639604399651171,0.40768757344290174,0.24372713347778463
ethnicity,Chinese,BN,959182,0.005789307972835187,0.308742240784335,0.3029529328114998
ethnicity,Indian,BN,186910,0.0011556364025466803,0.7936600502915842,0.7925044138890375
ethnicity,Other,BN,67997,0.012779975587158257,0.9338794358574642,0.921099460270306
ethnicity,Malay,PH,1379473,0.01589737530201751,0.37586745083086076,0.35997007552884325
ethnicity,Chinese,PH,959182,0.20836400182655637,0.7693649380409557,0.5610009362143994
ethnicity,Indian,PH,186910,0.0030335455566850356,0.9765448611631267,0.9735113156064417
ethnicity,Other,PH,67997,0.004191361383590452,0.8941865082283041,0.8899951468447137
ethnicity,Malay,PN,1379473,0.13955184334887308,0.361222727809823,0.22167088446094993
ethnicity,Chinese,PN,959182,0.00021372377713510052,0.2636903111192662,0.26347658734213114
ethnicity,Indian,PN,186910,0.0,0.6881761275480177,0.6881761275480177
ethnicity,Other,PN,67997,0.0024265776431313148,0.9458064326367339,0.9433798549936026
age,18-29,turnout,712706,0.6351090070800582,0.8296211902243,0.1945121831442418
age,30-39,turnout,556274,0.4890072158684389,0.895758205488662,0.4067509896202231
age,40-49,turnout,459441,0.5145143772540979,0.9337695155634782,0.4192551383093803
age,50-59,turnout,382649,0.5545160185966773,0.9624041876497783,0.407888169053101
age,60-69,turnout,283387,0.48447882224660976,0.9621753997184063,0.4776965774717965
age,70+,turnout,199105,0.3692222696567138,0.8925391125285653,0.5233168428718515
age,18-29,BN,712706,0.1088344983766097,0.2621585899375058,0.1533240915608961
age,30-39,BN,556274,0.06004774625454362,0.3783638998047725,0.31831615355022885
age,40-49,BN,459441,0.04955369677499396,0.4196556249877569,0.37010192821276294
age,50-59,BN,382649,0.05399465306325118,0.48241338668074396,0.4284187336174928
age,60-69,BN,283387,0.0671696302229813,0.5496723561772417,0.48250272595426047
age,70+,BN,199105,0.04493106652268904,0.5202832676226112,0.4753522010999222
age,18-29,PH,712706,0.21879989785409412,0.38459476979287394,0.16579487193877981
age,30-39,PH,556274,0.11864297091001916,0.4666603148807962,0.348017343970777
age,40-49,PH,459441,0.14598174738432138,0.5479114837378466,0.40192973635352525
age,50-59,PH,382649,0.16390477957606056,0.5955640809201121,0.4316593013440516
age,60-69,PH,283387,0.1388454657411949,0.599346476726173,0.4605010109849781
age,70+,PH,199105,0.09151954998618819,0.5171944451420105,0.42567489515582235
age,18-29,PN,712706,0.17059348455043175,0.3371249856181932,0.16653150106776146
age,30-39,PN,556274,0.07444892265322485,0.41457447229243144,0.3401255496392066
age,40-49,PN,459441,0.043061024157617624,0.3848045777368585,0.34174355357924086
age,50-59,PN,382649,0.025224161045762566,0.3372751529469566,0.312050991901194
age,60-69,PN,283387,0.012407061721250445,0.2615963329298803,0.24918927120862988
age,70+,PN,199105,0.0003917530951005751,0.22578538961854297,0.22539363652344238
