dim,group,estimand,gamma
ethnicity,Malay,turnout,-0.11945583694121813
ethnicity,Chinese,turnout,-0.42485337877596563
ethnicity,Indian,turnout,-0.03823704414987212
ethnicity,Other,turnout,-1.524290250849729
ethnicity,Malay,BN,4.308269974320146
ethnicity,Chinese,BN,3.1568015434989114
ethnicity,Indian,BN,3.5354469103672237
ethnicity,Other,BN,-0.46722912783236614
ethnicity,Malay,PH,-0.23555301030719833
ethnicity,Chinese,PH,0.4187256554439489
ethnicity,Indian,PH,0.9090326319466479
ethnicity,Other,PH,-0.07204363543368156
ethnicity,Malay,PN,-0.033811237109377765
ethnicity,Chinese,PN,4.640036117959262
ethnicity,Indian,PN,5.124905883817695
ethnicity,Other,PN,4.416944902973064
age,18-29,turnout,-2.6580056519032054
age,30-39,turnout,-1.5842205010685773
age,40-49,turnout,-1.3148900218624209
age,50-59,turnout,-4.924652454790883
age,60-69,turnout,2.51141198914682
age,70+,turnout,0.6045066604902698
age,18-29,BN,-2.679185397460406
age,30-39,BN,-7.357775028789489
age,40-49,BN,-7.904512819252775
age,50-59,BN,-1.2819410358039447
age,60-69,BN,7.289272334621441
age,70+,BN,14.121702794626051
age,18-29,PH,7.681751651234569
age,30-39,PH,2.3941093470941306
age,40-49,PH,0.3800154739926911
age,50-59,PH,0.25718065355868747
age,60-69,PH,-9.533024751206497
age,70+,PH,-19.43633807223432
age,18-29,PN,-2.053692107801644
age,30-39,PN,-5.129089964031186
age,40-49,PN,-15.816917400479424
age,50-59,PN,-6.878307287044129
age,60-69,PN,6.149955999713166
age,70+,PN,9.21130806470305
