dim,group,estimand,model,estimate,se,ci_lo,ci_hi,lo,hi,violates,excess
ethnicity,Malay,turnout,M1_lpm,0.7855236871310096,0.00609972517115656,0.7725582603346647,0.7959619780176356,0.5816786555445449,0.9178874831185532,False,0.0
ethnicity,Malay,turnout,M2_logit,0.7862891647693747,0.006201577790156143,0.773321623243518,0.7969267998269011,0.5816786555445449,0.9178874831185532,False,0.0
ethnicity,Malay,turnout,M3_probit,0.7862891141206622,,,,0.5816786555445449,0.9178874831185532,False,0.0
ethnicity,Malay,turnout,M2ml_logit_noprior,0.7862889967659583,,,,0.5816786555445449,0.9178874831185532,False,0.0
ethnicity,Malay,turnout,M4_context,0.8010293546350414,,,,0.5816786555445449,0.9178874831185532,False,0.0
ethnicity,Malay,turnout,M5_within_seat,0.789619300390586,0.004859692484364124,0.7795120044474705,0.7979742081823007,0.5816786555445449,0.9178874831185532,False,0.0
ethnicity,Chinese,turnout,M1_lpm,0.6888681714720111,0.007968266342222634,0.6713855768241604,0.7010107803958455,0.4687223071325359,0.9429232408448032,False,0.0
ethnicity,Chinese,turnout,M2_logit,0.6884321829778612,0.007848589236348116,0.6714055211841068,0.7004901523147539,0.4687223071325359,0.9429232408448032,False,0.0
ethnicity,Chinese,turnout,M3_probit,0.6884321545521247,,,,0.4687223071325359,0.9429232408448032,False,0.0
ethnicity,Chinese,turnout,M2ml_logit_noprior,0.6884318129491873,,,,0.4687223071325359,0.9429232408448032,False,0.0
ethnicity,Chinese,turnout,M4_context,0.6723473307529587,,,,0.4687223071325359,0.9429232408448032,False,0.0
ethnicity,Chinese,turnout,M5_within_seat,0.6907699601708717,0.007723231526700451,0.6735279676818312,0.7029046443056355,0.4687223071325359,0.9429232408448032,False,0.0
ethnicity,Indian,turnout,M1_lpm,0.671516242202058,0.035997387301765243,0.6000311414862766,0.7360666214684682,0.0393932908886629,0.9985501043282864,False,0.0
ethnicity,Indian,turnout,M2_logit,0.671930962401555,0.03665448018470523,0.5987831816889434,0.7366767763012159,0.0393932908886629,0.9985501043282864,False,0.0
ethnicity,Indian,turnout,M3_probit,0.6719326698948249,,,,0.0393932908886629,0.9985501043282864,False,0.0
ethnicity,Indian,turnout,M2ml_logit_noprior,0.6719341153232107,,,,0.0393932908886629,0.9985501043282864,False,0.0
ethnicity,Indian,turnout,M4_context,0.6685356687928201,,,,0.0393932908886629,0.9985501043282864,False,0.0
ethnicity,Indian,turnout,M5_within_seat,0.6484015280649126,0.02897455882663143,0.5785789558080606,0.6915688086800704,0.0393932908886629,0.9985501043282864,False,0.0
ethnicity,Other,turnout,M1_lpm,0.6237809236212055,0.057566005454950726,0.45536790554308787,0.6869320355060254,0.0352221421533302,0.9919555274497404,False,0.0
ethnicity,Other,turnout,M2_logit,0.6142063993992251,0.06186418610211444,0.4369457287538112,0.6837405622933873,0.0352221421533302,0.9919555274497404,False,0.0
ethnicity,Other,turnout,M3_probit,0.6142104653631133,,,,0.0352221421533302,0.9919555274497404,False,0.0
ethnicity,Other,turnout,M2ml_logit_noprior,0.6142141774665031,,,,0.0352221421533302,0.9919555274497404,False,0.0
ethnicity,Other,turnout,M4_context,0.5584393140416591,,,,0.0352221421533302,0.9919555274497404,False,0.0
ethnicity,Other,turnout,M5_within_seat,0.5461579577898672,0.05542895432996301,0.4110517840208972,0.6309902289397683,0.0352221421533302,0.9919555274497404,False,0.0
ethnicity,Malay,BN,M1_lpm,0.3765555177881944,0.013393339742603802,0.3503107630261493,0.404676787479393,0.1639604399651171,0.4076875734429017,False,0.0
ethnicity,Malay,BN,M2_logit,0.36668561725759774,0.013548214722041594,0.3403187407561114,0.3919487704197933,0.1639604399651171,0.4076875734429017,False,0.0
