dim,group,estimand,registered,bound_lo,bound_hi,m2_raw,capped,reconciled,ci_lo,ci_hi,se
ethnicity,Malay,turnout,1379473,0.5816786555445449,0.9178874831185532,0.7862891647693747,0.7862891647693747,0.7776321420493914,0.765543355853624,0.7875339606589642,0.0057079615745887985
ethnicity,Chinese,turnout,959182,0.4687223071325359,0.9429232408448032,0.6884321829778612,0.6884321829778612,0.6957484439425052,0.6779755975900583,0.7084113550168156,0.008443767571450171
ethnicity,Indian,turnout,186910,0.0393932908886629,0.9985501043282864,0.671930962401555,0.671930962401555,0.686616443432559,0.624280565768051,0.7327231349310533,0.027288258229879365
ethnicity,Other,turnout,67997,0.0352221421533302,0.9919555274497404,0.6142063993992251,0.6142063993992251,0.6453165979537617,0.5224302736870142,0.6980412034320611,0.0444265360021526
ethnicity,Malay,BN,1379473,0.1639604399651171,0.4076875734429017,0.3666856172575977,0.3666856172575977,0.36425034810849216,0.3427394341354727,0.3928608137123546,0.013160118136792414
ethnicity,Chinese,BN,959182,0.0057893079728351,0.308742240784335,0.0566295018551745,0.0566295018551745,0.057613551935172605,0.0427817460877218,0.07391889854416187,0.007989279317901922
ethnicity,Indian,BN,186910,0.0011556364025466,0.7936600502915842,0.0555098371991199,0.0555098371991199,0.056254280349569724,0.0010379358777767142,0.1416850397601202,0.03634600149738431
ethnicity,Other,BN,67997,0.0127799755871582,0.9338794358574642,0.1002770561712772,0.1002770561712772,0.09643234306385098,0.0006330132496482874,0.2269924155124705,0.060365248669153215
ethnicity,Malay,PH,1379473,0.0158973753020175,0.3758674508308607,0.0566844703160165,0.0566844703160165,0.06266320223084718,0.050371921379335854,0.07763438827324354,0.00677595195898734
ethnicity,Chinese,PH,959182,0.2083640018265563,0.7693649380409557,0.6277780830130097,0.6277780830130097,0.626453816466359,0.6056491426706229,0.644289398161566,0.010481400497380387
ethnicity,Indian,PH,186910,0.003033545556685,0.9765448611631268,0.6399785187180626,0.6399785187180626,0.6231482120463793,0.5073554470646868,0.7082842037096198,0.052029802495593004
ethnicity,Other,PH,67997,0.0041913613835904,0.8941865082283041,0.1795071787807,0.1795071787807,0.17056557685756202,0.0942609916453644,0.24700102934156903,0.04138500966886122
ethnicity,Malay,PN,1379473,0.139551843348873,0.361222727809823,0.3383943819844961,0.3383943819844961,0.3412714518093016,0.31413672572875717,0.3638151324542822,0.012774981054391501
ethnicity,Chinese,PN,959182,0.0002137237771351,0.2636903111192662,0.0023932080617551,0.0023932080617551,0.0026618876609301035,0.0005371501108613757,0.006490155285417453,0.0014118507936480933
ethnicity,Indian,PN,186910,0.0,0.6881761275480177,0.0003378685613267,0.0003378685613267,0.00035028819597237096,0.00010352630480471861,0.012737338651674531,0.004758437861554617
ethnicity,Other,PN,67997,0.0024265776431313,0.945806432636734,0.427620505711163,0.427620505711163,0.3742450322980842,0.14513965963736608,0.5024498241322453,0.09175753841318122
age,18-29,turnout,712706,0.6351090070800582,0.8296211902243,0.7412122986110821,0.7412122986110821,0.7408669152950814,0.7319232465965754,0.7520561382056776,0.005213752336789149
age,30-39,turnout,556274,0.4890072158684389,0.895758205488662,0.6984068088658394,0.6984068088658394,0.6992538770058526,0.6895704401089693,0.7107615856665978,0.00562160629711174
age,40-49,turnout,459441,0.5145143772540979,0.9337695155634782,0.7507574610606456,0.7507574610606456,0.7503515295936641,0.7375913927155939,0.7609425340487147,0.006219166875323501
age,50-59,turnout,382649,0.5545160185966773,0.9624041876497784,0.8025989256849265,0.8025989256849265,0.8021136898526117,0.7914748097482407,0.8135072824614568,0.005693616830665299
age,60-69,turnout,283387,0.4844788222466097,0.9621753997184064,0.8048762966970316,0.8048762966970316,0.8051444038183657,0.7935027518246485,0.8170622973066662,0.006006288849006579
age,70+,turnout,199105,0.3692222696567138,0.8925391125285653,0.5787871277161932,0.5787871277161932,0.5798560433380416,0.5557260548081515,0.6037081087352065,0.012798366396696084
age,18-29,BN,712706,0.1088344983766097,0.2621585899375058,0.1762314147400424,0.1762314147400424,0.17675096603076626,0.15871370204314705,0.21237291678574402,0.013309885528862388
age,30-39,BN,556274,0.0600477462545436,0.3783638998047725,0.2058609501942845,0.2058609501942845,0.20353458769309996,0.1824494790513397,0.2375363913221311,0.013466066404839487
age,40-49,BN,459441,0.0495536967749939,0.4196556249877569,0.2075714956345368,0.2075714956345368,0.20923573490403485,0.18518250612767076,0.24869922457958546,0.015239187786582009
age,50-59,BN,382649,0.0539946530632511,0.4824133866807439,0.2531066899728508,0.2531066899728508,0.2540666341144261,0.23490917413990356,0.29018812693510176,0.014538323464113911
age,60-69,BN,283387,0.0671696302229813,0.5496723561772417,0.31591275442034,0.31591275442034,0.3139227945702904,0.2820691829345953,0.3604731965775958,0.020549798154417643
age,70+,BN,199105,0.044931066522689,0.5202832676226112,0.2650592041078045,0.2650592041078045,0.26771336243438654,0.23452915832508464,0.30908937833621764,0.019678260039819782
age,18-29,PH,712706,0.2187998978540941,0.3845947697928739,0.3032079595021055,0.3032079595021055,0.3030563876967491,0.2608759445076948,0.33572266149357166,0.01896888402436968
age,30-39,PH,556274,0.1186429709100191,0.4666603148807962,0.259139368275445,0.259139368275445,0.2614813419096756,0.22117559879510654,0.2973450816211836,0.0201450528738537
age,40-49,PH,459441,0.1459817473843213,0.5479114837378466,0.3424139893158546,0.3424139893158546,0.3407358700235541,0.28603578750060593,0.38466737941160944,0.02479158178502432
age,50-59,PH,382649,0.1639047795760605,0.5955640809201121,0.3761692777955558,0.3761692777955558,0.3744505805990093,0.3279487843272232,0.40651179622498584,0.02058935386642701
age,60-69,PH,283387,0.1388454657411949,0.599346476726173,0.372620805706284,0.372620805706284,0.3698008286600741,0.3206861911654321,0.40778424052776324,0.022172096074795762
age,70+,PH,199105,0.0915195499861881,0.5171944451420105,0.2442644066819996,0.2442644066819996,0.2477220845992007,0.21044033106362878,0.2764833885096457,0.01767550400246732
age,18-29,PN,712706,0.1705934845504317,0.3371249856181932,0.2554599868820948,0.2554599868820948,0.2557987880403279,0.22719615184625974,0.2855442574712525,0.014956119741634698
age,30-39,PN,556274,0.0744489226532248,0.4145744722924314,0.2309050193000926,0.2309050193000926,0.22842507463459247,0.20109262872419692,0.25921144869100876,0.014565022884200331
age,40-49,PN,459441,0.0430610241576176,0.3848045777368585,0.1905539761897269,0.1905539761897269,0.19235010355738852,0.16665017036993987,0.2240213954028675,0.014396142448486061
age,50-59,PN,382649,0.0252241610457625,0.3372751529469566,0.1617065811526231,0.1617065811526231,0.16231999673830225,0.13809773323680774,0.18635345301510362,0.01304505893633086
age,60-69,PN,283387,0.0124070617212504,0.2615963329298803,0.1063987131855403,0.1063987131855403,0.10661505385126328,0.09076202894127401,0.12409159978664229,0.008995606305225697
age,70+,PN,199105,0.0003917530951005,0.2257853896185429,0.0428427649596005,0.0428427649596005,0.04402857978189487,0.03201905470838143,0.0576108983781532,0.006776540477349953
