cluster,dim,group,estimand,registered,lo,hi
N.01 Buloh Kasap,ethnicity,Malay,turnout,15902,0.4894981763300214,0.7801534398188907
N.01 Buloh Kasap,ethnicity,Chinese,turnout,8979,0.15959460964472658,0.7322641719567881
N.01 Buloh Kasap,ethnicity,Indian,turnout,3138,0.02708731676226896,0.982791586998088
N.01 Buloh Kasap,ethnicity,Other,turnout,449,0.0,1.0
N.01 Buloh Kasap,ethnicity,Malay,BN,15902,0.3249905672242485,0.5310023896365237
N.01 Buloh Kasap,ethnicity,Chinese,BN,8979,0.004120726138768237,0.30326316961799754
N.01 Buloh Kasap,ethnicity,Indian,BN,3138,0.0,0.7425111536010197
N.01 Buloh Kasap,ethnicity,Other,BN,449,0.0,1.0
N.01 Buloh Kasap,ethnicity,Malay,PH,15902,0.0016978996352660042,0.1578417809080619
N.01 Buloh Kasap,ethnicity,Chinese,PH,8979,0.04922597171177191,0.37699075620893197
N.01 Buloh Kasap,ethnicity,Indian,PH,3138,0.0,0.6676226896112173
N.01 Buloh Kasap,ethnicity,Other,PH,449,0.0,0.6169265033407573
N.01 Buloh Kasap,ethnicity,Malay,PN,15902,0.07973839768582568,0.1845050936989058
N.01 Buloh Kasap,ethnicity,Chinese,PN,8979,0.0,0.13899097895088539
N.01 Buloh Kasap,ethnicity,Indian,PN,3138,0.0,0.3897386870618228
N.01 Buloh Kasap,ethnicity,Other,PN,449,0.0,0.9643652561247216
N.01 Buloh Kasap,age,18-29,turnout,6835,0.29831748354059984,0.718215069495245
N.01 Buloh Kasap,age,30-39,turnout,7112,0.2296119235095613,0.7289088863892014
N.01 Buloh Kasap,age,40-49,turnout,4720,0.16016949152542373,0.8434322033898305
N.01 Buloh Kasap,age,50-59,turnout,3795,0.2005270092226614,0.9201581027667984
N.01 Buloh Kasap,age,60-69,turnout,3743,0.3104461661768635,0.9283996794015495
N.01 Buloh Kasap,age,70+,turnout,2263,0.12991604065399912,0.8912947414935926
N.01 Buloh Kasap,age,18-29,BN,6835,0.11338697878566203,0.49012435991221653
N.01 Buloh Kasap,age,30-39,BN,7112,0.1032058492688414,0.515748031496063
N.01 Buloh Kasap,age,40-49,BN,4720,0.0423728813559322,0.5968220338983051
N.01 Buloh Kasap,age,50-59,BN,3795,0.0023715415019762848,0.6901185770750988
N.01 Buloh Kasap,age,60-69,BN,3743,0.1437349719476356,0.6884851723216671
N.01 Buloh Kasap,age,70+,BN,2263,0.009279717189571365,0.6880247459125055
N.01 Buloh Kasap,age,18-29,PH,6835,0.0592538405267008,0.17425018288222385
N.01 Buloh Kasap,age,30-39,PH,7112,0.02784026996625422,0.187710911136108
N.01 Buloh Kasap,age,40-49,PH,4720,0.03135593220338983,0.3336864406779661
N.01 Buloh Kasap,age,50-59,PH,3795,0.0023715415019762848,0.34545454545454546
N.01 Buloh Kasap,age,60-69,PH,3743,0.047822602190756076,0.3125834891798023
N.01 Buloh Kasap,age,70+,PH,2263,0.005302695536897923,0.34776844896155545
N.01 Buloh Kasap,age,18-29,PN,6835,0.037161667885881496,0.23862472567666423
N.01 Buloh Kasap,age,30-39,PN,7112,0.02544994375703037,0.24732845894263217
N.01 Buloh Kasap,age,40-49,PN,4720,0.007203389830508475,0.3582627118644068
N.01 Buloh Kasap,age,50-59,PN,3795,0.0,0.27720685111989457
