dim,group,estimand,registered,lo,hi,width
ethnicity,Malay,turnout,1367553,0.3769930671791148,0.7924979872809317,0.4155049201018169
ethnicity,Chinese,turnout,955008,0.1813293710628602,0.7652700291515883,0.5839406580887281
ethnicity,Indian,turnout,185594,0.010221235600288802,0.9939222173130597,0.983700981712771
ethnicity,Other,turnout,66680,0.023110377924415115,0.9911817636472705,0.9680713857228553
ethnicity,Malay,BN,1367553,0.15975029852590722,0.4121873155921562,0.252437017066249
ethnicity,Chinese,BN,955008,0.005108857726846267,0.31630206239110037,0.3111932046642541
ethnicity,Indian,BN,185594,0.0015248337769539963,0.8278662025712038,0.8263413687942498
ethnicity,Other,BN,66680,0.011487702459508099,0.9561937612477505,0.9447060587882423
ethnicity,Malay,PH,1367553,0.002726036943357954,0.20063865897701955,0.19791262203366158
ethnicity,Chinese,PH,955008,0.05773668911674038,0.3653613372872269,0.3076246481704865
ethnicity,Indian,PH,185594,8.620968350269944e-05,0.7210308522904836,0.7209446426069809
ethnicity,Other,PH,66680,0.0011397720455908818,0.6843581283743251,0.6832183563287342
ethnicity,Malay,PN,1367553,0.07399055100606704,0.23491520986755174,0.16092465886148472
ethnicity,Chinese,PN,955008,9.42400482509047e-05,0.19337639056426753,0.19328215051601663
ethnicity,Indian,PN,185594,2.155242087567486e-05,0.5851158981432589,0.5850943457223833
ethnicity,Other,PN,66680,0.004169166166766647,0.8891571685662868,0.8849880023995201
age,18-29,turnout,677952,0.3894759510997829,0.6327601364108374,0.2432841853110545
age,30-39,turnout,557295,0.2295785894364744,0.7164822939376811,0.48690370450120674
age,40-49,turnout,460337,0.2500841774612947,0.7892457047771524,0.5391615273158576
age,50-59,turnout,384405,0.3064944524654986,0.8702722389146863,0.5637777864491877
age,60-69,turnout,287427,0.2664989719128683,0.9010948867016668,0.6345959147887985
age,70+,turnout,207419,0.19913315559326775,0.7989817711974313,0.5998486156041636
age,18-29,BN,677952,0.13154176106863022,0.29856243509865005,0.16702067403001983
age,30-39,BN,557295,0.05947299006809679,0.38260705730358247,0.32313406723548566
age,40-49,BN,460337,0.046140110397382784,0.4073711215913559,0.3612310111939731
age,50-59,BN,384405,0.047252246979097565,0.475547924714819,0.4282956777357214
age,60-69,BN,287427,0.05046498763164212,0.5338712090374251,0.483406221405783
age,70+,BN,207419,0.034302547018354154,0.49277067192494417,0.45846812490659
age,18-29,PH,677952,0.07495368403662796,0.16520491126215425,0.0902512272255263
age,30-39,PH,557295,0.030102548919333567,0.2112130918095443,0.18111054289021075
age,40-49,PH,460337,0.038450091997818986,0.27706658382880367,0.23861649183098468
age,50-59,PH,384405,0.05190619268740001,0.34165008259517954,0.28974388990777955
age,60-69,PH,287427,0.05947597129010149,0.3677872990359291,0.3083113277458276
age,70+,PH,207419,0.03542105593026675,0.3025470183541527,0.267125962423886
age,18-29,PN,677952,0.08226983621259322,0.20753829179646938,0.12526845558387617
age,30-39,PN,557295,0.0360096537740335,0.2788971729514889,0.2428875191774554
age,40-49,PN,460337,0.025490021440814012,0.28354879142888795,0.2580587699880739
age,50-59,PN,384405,0.01581665170848454,0.27708536569503517,0.2612687139865506
age,60-69,PN,287427,0.00916754515059476,0.2310569292376847,0.22188938408708994
age,70+,PN,207419,0.00034712345542115236,0.19562817292533471,0.19528104946991356
