dim,group,estimand,registered,bound_lo,bound_hi,m2_raw,capped,reconciled,ci_lo,ci_hi,se
ethnicity,Malay,turnout,1367553,0.3769930671791148,0.7924979872809317,0.6375070399023174,0.6375070399023174,0.62741050658994,0.6145238367377185,0.6415233215572149,0.0070054275148555955
ethnicity,Chinese,turnout,955008,0.1813293710628602,0.7652700291515883,0.4384637218804311,0.4384637218804311,0.44539094239003446,0.4286966177619002,0.46220489752719507,0.00883712543702649
ethnicity,Indian,turnout,185594,0.0102212356002888,0.9939222173130596,0.3096765358543674,0.3096765358543674,0.34018565287833763,0.242932100682196,0.4305739701167397,0.04775626852621668
ethnicity,Other,turnout,66680,0.0231103779244151,0.9911817636472704,0.3614272753831826,0.3614272753831826,0.37556314203785596,0.23516865486106936,0.49603421594261216,0.06829118432840293
ethnicity,Malay,BN,1367553,0.1597502985259072,0.4121873155921562,0.3616535706264374,0.3616535706264374,0.35935903258955754,0.3383683978519066,0.38378603272973194,0.011264778816314406
ethnicity,Chinese,BN,955008,0.0051088577268462,0.3163020623911003,0.0543096151745361,0.0543096151745361,0.055930130880309736,0.04263070172542581,0.07277111704899877,0.007843962448422767
ethnicity,Indian,BN,185594,0.0015248337769539,0.8278662025712038,0.1128198967590979,0.1128198967590979,0.11145866757933466,0.0499160294521561,0.1823982270884558,0.03537938241510865
ethnicity,Other,BN,66680,0.011487702459508,0.9561937612477504,0.1549484522640308,0.1549484522640308,0.1534897198948967,0.02263945772770982,0.2548890631109561,0.05720676149242432
ethnicity,Malay,PH,1367553,0.0027260369433579,0.2006386589770195,0.022863856924504,0.022863856924504,0.02472907486649715,0.018143497842855287,0.03186664406338351,0.003316062334913059
ethnicity,Chinese,PH,955008,0.0577366891167403,0.3653613372872269,0.3204353209931506,0.3204353209931506,0.31702089116376064,0.271301755819559,0.35370212221971786,0.023038721027621663
ethnicity,Indian,PH,185594,8.620968350269944e-05,0.7210308522904836,0.1176005189017669,0.1176005189017669,0.12073807410551826,0.04041561705339237,0.19063579348016882,0.037389787327831665
ethnicity,Other,PH,66680,0.0011397720455908,0.6843581283743251,0.027730543810466,0.027730543810466,0.02861322922970923,0.001269354040613995,0.06403290512156619,0.015124879609595403
ethnicity,Malay,PN,1367553,0.073990551006067,0.2349152098675517,0.2175505353813146,0.2175505353813146,0.2177274546406811,0.20573293069522988,0.23273318166120685,0.006895477993141118
ethnicity,Chinese,PN,955008,9.42400482509047e-05,0.1933763905642675,0.0104287306510364,0.0104287306510364,0.010565037246438192,0.006315715980529137,0.015039608744784704,0.002035298998782474
ethnicity,Indian,PN,185594,2.155242087567486e-05,0.5851158981432589,0.0223313586891225,0.0223313586891225,0.021798461434010118,0.0003855742368529942,0.045802498652212795,0.012408709897231453
ethnicity,Other,PN,66680,0.0041691661667666,0.8891571685662868,0.1575131374964693,0.1575131374964693,0.15146681886236082,0.07452408117423781,0.20976753737344608,0.03291801589108785
