dim,group,estimand,registered,reconciled,ci_lo,ci_hi,bound_lo,bound_hi,bound_width,model_min,model_max,model_range,capped,m2_raw,reliability
ethnicity,Malay,turnout,1461042,0.7512981922007089,0.7406955201694773,0.7616001850591259,0.5273085920870173,0.8987250195408483,0.37141642745383097,0.7545996789591255,0.7758624314434888,0.021262752484363268,0.7600934035006133,0.7600934035006133,good
ethnicity,Malay,BN,1461042,0.6371239467920017,0.6172409520069037,0.6543115452701495,0.3428272424748912,0.7195713744026524,0.3767441319277612,0.6084073407258572,0.6370802437298742,0.028672903004016925,0.6351411398941078,0.6351411398941078,good
ethnicity,Malay,PH,1461042,0.0355134901706821,0.0309516421309342,0.0400687995007388,0.0053044334112229,0.2867740968432119,0.28146966343198904,0.0327999844031406,0.0359607731564927,0.0031607887533521006,0.0327999844031406,0.0327999844031406,good
ethnicity,Malay,PN,1461042,0.0679764182355904,0.0535693561843018,0.0861647778647778,0.0217454392139308,0.0679932541295869,0.046247814915656105,0.0494486950461127,0.0682564491919925,0.018807754145879804,0.0679932541295869,0.0682435546722874,good
ethnicity,Chinese,turnout,981403,0.6228527564771064,0.6088917290868718,0.63769258392226,0.3656204433856428,0.9115592677014438,0.545938824315801,0.5941147488850631,0.6265202681750561,0.03240551928999302,0.617416533372175,0.617416533372175,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Chinese,BN,981403,0.0772560919741506,0.0628428078714792,0.0984399947938347,0.0102699910230557,0.4980400508251961,0.4877700598021404,0.0764621080468317,0.0944283445011736,0.017966236454341894,0.0769863972600789,0.0769863972600789,good
ethnicity,Chinese,PH,981403,0.52533630305786,0.5132809234001556,0.5373046429395988,0.1263925217265486,0.5939282843031863,0.46753576257663776,0.5252207949194997,0.5278511142406963,0.002630319321196617,0.5278489326103806,0.5278489326103806,good
ethnicity,Chinese,PN,981403,2.1169019012376292e-05,5.502533862162447e-06,0.0003245027139626,5.094747010147717e-06,0.0564518347712407,0.05644674002423056,1.6266413968456408e-10,0.0103642561092372,0.01036425594657306,1.0631423875689387e-05,1.0631423875689387e-05,good
ethnicity,Indian,turnout,193096,0.5384745091763625,0.4847457306663287,0.5905242172967257,0.0165617102373948,0.997622944027841,0.9810612337904462,0.4850454074840494,0.5181361367741008,0.03309072929005136,0.5039527500352422,0.5039527500352422,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Indian,BN,193096,0.2613891407388528,0.1939854223278884,0.3240923535143392,0.0026204582176741,0.9646807805443924,0.9620603223267183,0.2450909466810355,0.3573086555468643,0.1122177088658288,0.2844003403851339,0.2844003403851339,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Indian,PH,193096,0.1712635851665713,0.1305050766480318,0.2076858701392649,0.0002019720760657,0.9109458507685296,0.910743878692464,0.1660267763960684,0.1796363679280666,0.0136095915319982,0.1790720891673762,0.1790720891673762,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Indian,PN,193096,1.8244620077372668e-05,7.538606283153282e-06,6.0415635278474144e-05,0.0,0.147693375315905,0.147693375315905,4.707944560888598e-11,0.0236111208918788,0.023611120844799355,2.50369174239498e-05,2.50369174239498e-05,good
ethnicity,Other,turnout,67634,0.6002151149107129,0.5010587175705999,0.6482388505779304,0.024987432356507,0.9931099742732944,0.9681225419167874,0.5545775237174849,0.5962047043028134,0.04162718058532844,0.5916408366569242,0.5916408366569242,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Other,BN,67634,0.4651299136425771,0.3668513972367287,0.5366011296877786,0.012449359789455,0.9853771771594168,0.9729278173699617,0.4831542987734477,0.5742239871257976,0.09106968835234991,0.4831542987734477,0.4831542987734477,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Other,PH,67634,0.0575355919039241,0.0226363857852938,0.0861887413410721,0.0012567643492917,0.8304255256232073,0.8291687612739156,0.0338409075283019,0.0571257990326674,0.023284891504365503,0.0571257990326674,0.0571257990326674,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Other,PN,67634,0.0001227141129016,3.544964050004477e-05,0.0357572764404943,0.0,0.3453144867965816,0.3453144867965816,4.6534670646705084e-09,0.0364886981679193,0.03648869351445224,0.0001338560805701,0.0001338560805701,good
age,18-29,turnout,663898,0.6599982590690874,0.644153384921348,0.676314552487277,0.5441784731991962,0.7709527668406894,0.22677429364149315,0.659927547947708,0.7500591363812685,0.0901315884335605,0.659927547947708,0.659927547947708,moderate - specification-sensitive
age,18-29,BN,663898,0.427917343181206,0.3978411611049969,0.4584389494725298,0.3148254701776478,0.5435172270439134,0.22869175686626558,0.4286546211730633,0.532523889863128,0.10386926869006474,0.428654674266554,0.428654674266554,moderate - specification-sensitive
age,18-29,PH,663898,0.1777538624914117,0.1554012768818027,0.1972134731530646,0.1179623978382221,0.2539426237162938,0.13598022587807168,0.1140323242715367,0.1773864948705272,0.06335417059899051,0.1773864948705272,0.1773864948705272,moderate - specification-sensitive
age,18-29,PN,663898,0.0345370189726673,0.0251493257362227,0.0459163766161527,0.0160551771507068,0.0598299738815299,0.0437747967308231,0.0225456203696527,0.0350955885308902,0.012549968161237497,0.0345848944337331,0.0345848944337331,good
age,30-39,turnout,582037,0.6561017018540101,0.6431613077490043,0.6678261825809365,0.4288249716083341,0.854431934739544,0.42560696313120994,0.5925401641154006,0.6558567637494975,0.06331659963409697,0.6558566031372866,0.6558566031372866,moderate - specification-sensitive
age,30-39,BN,582037,0.4193999035890139,0.3957576664783445,0.4446134744049827,0.2087547698857632,0.6321505333853346,0.42339576349957136,0.3187758513641865,0.420229746654924,0.1014538952907375,0.420229746654924,0.420229746654924,moderate - specification-sensitive
age,30-39,PH,582037,0.1819801223709499,0.1612333947979135,0.2012397465217619,0.0724369756561868,0.3319565594627146,0.2595195838065278,0.1815418367217744,0.220662318766331,0.03912048204455659,0.181542256828086,0.181542256828086,good
age,30-39,PN,582037,0.0373465111798011,0.0290483092961222,0.049941823678142,0.0074978051223547,0.0893774794385924,0.08187967431623769,0.0373243192121617,0.0418572405322965,0.004532921320134803,0.0374189260142591,0.0374189260142591,good
age,40-49,turnout,494571,0.6834428597879277,0.6716856978902453,0.6950023502641035,0.4454385720149382,0.8971047635223254,0.4516661915073872,0.6803807603279773,0.6829227940922304,0.0025420337642531043,0.6829225631135445,0.6829225631135445,good
age,40-49,BN,494571,0.4083956363127197,0.3808761591023104,0.4371543116234788,0.1769937986659145,0.6396351585515527,0.46264135988563826,0.4006277346684289,0.4107274587927753,0.010099724124346399,0.4107274557284283,0.4107274557284283,good
age,40-49,PH,494571,0.2070059370495555,0.1842958183372481,0.2282974676384567,0.0719087855939794,0.3896386969717189,0.3177299113777395,0.2057851585699873,0.2083674292422488,0.002582270672261494,0.2057856421710495,0.2057856421710495,good
age,40-49,PN,494571,0.0463018355642684,0.0361611380865265,0.0604136427012774,0.0073113870404855,0.0976017599090929,0.09029037286860739,0.0454464639878064,0.0493252888372872,0.003878824849480801,0.0469430691733792,0.0469430691733792,good
age,50-59,turnout,398733,0.7457479013599004,0.7340599110608228,0.7577430331721994,0.4805471330439166,0.9402682998397424,0.45972116679582575,0.7362590125022971,0.7461173518437546,0.009858339341457523,0.7461170090862702,0.7461170090862702,good
age,50-59,BN,398733,0.3854589664192895,0.3588389742742529,0.4166683787915174,0.143534645991177,0.645329079860458,0.501794433869281,0.370555599678618,0.3840899278337493,0.013534328155131281,0.3823404456082157,0.3823404456082157,"weak - bounds near-vacuous, driven by assumption"
age,50-59,PH,398733,0.2896070390971092,0.2629976978760214,0.3154452160462209,0.1031166218998678,0.4905914484128477,0.3874748265129799,0.2899132761057463,0.2932064039093038,0.003293127803557505,0.2912475781009762,0.2912475781009762,good
age,50-59,PN,398733,0.0426604531506617,0.0305560795587871,0.0595264357363469,0.0043437588561769,0.1026401125565227,0.0982963537003458,0.0411714310391932,0.0439264546944892,0.0027550236552960003,0.0422497581179466,0.0422497581179466,good
age,60-69,turnout,313976,0.7925962187694512,0.7841966384373348,0.8030135254832941,0.4656629806099829,0.9575891150915994,0.4919261344816165,0.7928960378834815,0.7975473544218094,0.004651316538327843,0.7928960378834815,0.7928960378834815,good
age,60-69,BN,313976,0.4101966933174402,0.3821868625174404,0.4411273893014513,0.1162732183351593,0.6618563202282977,0.5455831018931383,0.4118281976452793,0.4273411718231935,0.015512974177914196,0.4118281976452793,0.4118281976452793,"weak - bounds near-vacuous, driven by assumption"
age,60-69,PH,313976,0.3203797316920905,0.289284922909911,0.348938990106709,0.1102377251764466,0.5322094682396107,0.4219717430631641,0.3001837833600993,0.3226549400969766,0.022471156736877274,0.3226549400969766,0.3226549400969766,good
age,60-69,PN,313976,0.0328315104706607,0.024444479812367,0.0460859721933577,0.0016912120671643,0.0824075725533161,0.0807163604861518,0.0328238303603456,0.0353676849824453,0.0025438546220997033,0.0328238303603456,0.0328238303603456,good
age,70+,turnout,249960,0.5971015466997839,0.5766644547546808,0.6168400927418939,0.4036805888942231,0.8722315570491279,0.4685509681549048,0.5841499969680715,0.5973553998888913,0.013205402920819842,0.5972935491571275,0.5972935491571275,good
age,70+,BN,249960,0.3038426337267044,0.270522139279944,0.3381101012750954,0.0937029924787966,0.5683269323091694,0.4746239398303728,0.2662323973030351,0.2974394069063291,0.031207009603293978,0.2974394069063291,0.2974394069063291,good
age,70+,PH,249960,0.2481950642689087,0.2213670935648713,0.2772487294027324,0.09102656425028,0.4448431749079852,0.3538166106577052,0.2480746463935421,0.2631370379107148,0.015062391517172702,0.2480756436485211,0.2480756436485211,good
age,70+,PN,249960,0.0178624937430445,0.0122755804311685,0.0245552486986223,8.001280204832773e-05,0.0661505840934549,0.06607057129140657,0.0150310468465151,0.016925875377017,0.0018948285305019005,0.016925875377017,0.016925875377017,good
