dim,group,estimand,gamma
ethnicity,Malay,turnout,0.00884225188739409
ethnicity,Chinese,turnout,-0.7834665921039181
ethnicity,Indian,turnout,-0.0037615797572545457
ethnicity,Other,turnout,-1.3429411555818551
ethnicity,Malay,BN,0.49093167192111425
ethnicity,Chinese,BN,-0.17099468910754503
ethnicity,Indian,BN,1.0981770996969455
ethnicity,Other,BN,1.1326454835412954
ethnicity,Malay,PH,-0.050560245991265816
ethnicity,Chinese,PH,-0.024739282749124063
ethnicity,Indian,PH,0.18366541033674916
ethnicity,Other,PH,-2.463066919720815
ethnicity,Malay,PN,1.8758025104964868
ethnicity,Chinese,PN,5.285543441197671
ethnicity,Indian,PN,4.448871886911824
ethnicity,Other,PN,2.718327450620641
age,18-29,turnout,-2.676463982443715
age,30-39,turnout,-1.4569946988326916
age,40-49,turnout,-1.0369933548792825
age,50-59,turnout,-7.279565519712273
age,60-69,turnout,3.618152850403835
age,70+,turnout,-0.22107706587093862
age,18-29,BN,-2.7930478014529623
age,30-39,BN,-2.254795157036291
age,40-49,BN,-2.370992417477742
age,50-59,BN,-6.739977497444133
age,60-69,BN,8.81806262072916
age,70+,BN,10.500786866104999
age,18-29,PH,3.359562508391547
age,30-39,PH,1.0671307788202504
age,40-49,PH,0.06115200613989487
age,50-59,PH,1.1016011264348324
age,60-69,PH,-13.570297766945266
age,70+,PH,-12.641514930055923
age,18-29,PN,1.4004959321048045
age,30-39,PN,1.8496097957719928
age,40-49,PN,1.6879512577549343
age,50-59,PN,-3.064384922798565
age,60-69,PN,10.264760096832587
age,70+,PN,7.7649779525345535
