dim,group,estimand,model,estimate,se,ci_lo,ci_hi
ethnicity,Malay,turnout,M1_lpm,0.7586545832058434,0.005159766671631904,0.747847967332712,0.7691560796008703
ethnicity,Malay,turnout,M2_logit,0.7600934035006133,0.0052501069773208545,0.7489531827049085,0.7707051217526537
ethnicity,Malay,turnout,M3_probit,0.7600934167547913,,,
ethnicity,Malay,turnout,M2ml_logit_noprior,0.7600933677360585,,,
ethnicity,Malay,turnout,M4_context,0.7758624314434888,,,
ethnicity,Malay,turnout,M5_within_seat,0.7545996789591255,0.004784820572430604,0.7457163064867659,0.7642259730234603
ethnicity,Chinese,turnout,M1_lpm,0.6185021695417487,0.007904717133861434,0.6014033674680138,0.63154782143447
ethnicity,Chinese,turnout,M2_logit,0.617416533372175,0.007893493336904743,0.6003384464549556,0.6308158532607534
ethnicity,Chinese,turnout,M3_probit,0.617416806535781,,,
ethnicity,Chinese,turnout,M2ml_logit_noprior,0.6174166394697345,,,
ethnicity,Chinese,turnout,M4_context,0.5941147488850631,,,
ethnicity,Chinese,turnout,M5_within_seat,0.6265202681750561,0.007238159909022119,0.6104317138835937,0.6378443352237347
ethnicity,Indian,turnout,M1_lpm,0.5050953225103182,0.031088214657215573,0.44444435384388087,0.564845810618397
ethnicity,Indian,turnout,M2_logit,0.5039527500352422,0.03184025944538554,0.44118731773248104,0.5648448058947135
ethnicity,Indian,turnout,M3_probit,0.5039511747373084,,,
ethnicity,Indian,turnout,M2ml_logit_noprior,0.5039510843454258,,,
ethnicity,Indian,turnout,M4_context,0.5181361367741008,,,
ethnicity,Indian,turnout,M5_within_seat,0.48504540748404945,0.03437496095853387,0.41137914692027194,0.538317434567293
ethnicity,Other,turnout,M1_lpm,0.5997282336329981,0.05196006807367891,0.4648627497462473,0.6589167677406341
ethnicity,Other,turnout,M2_logit,0.5916408366569242,0.05542366257185374,0.4477141187817069,0.6552070441589701
ethnicity,Other,turnout,M3_probit,0.5916460812644256,,,
ethnicity,Other,turnout,M2ml_logit_noprior,0.5916496888551869,,,
ethnicity,Other,turnout,M4_context,0.5545775237174849,,,
ethnicity,Other,turnout,M5_within_seat,0.5962047043028134,0.04792040758633382,0.4996027593608358,0.674128347966514
ethnicity,Malay,BN,M1_lpm,0.6354921058300321,0.011365139100225331,0.6103760392698171,0.6574735111033286
ethnicity,Malay,BN,M2_logit,0.6351411398941078,0.011520652074018138,0.6096969028051711,0.6569603797681797
ethnicity,Malay,BN,M3_probit,0.6351416180385614,,,
ethnicity,Malay,BN,M2ml_logit_noprior,0.6351418436193785,,,
ethnicity,Malay,BN,M4_context,0.6084073407258572,,,
ethnicity,Malay,BN,M5_within_seat,0.6370802437298742,0.010229288606182817,0.6151333445375261,0.6566222704751199
ethnicity,Chinese,BN,M1_lpm,0.07006020055529162,0.00977008609394835,0.05187487906548149,0.09030604512484222
ethnicity,Chinese,BN,M2_logit,0.07698639726007891,0.00869180535772689,0.06187484477901217,0.09519370081752747
ethnicity,Chinese,BN,M3_probit,0.07698529353923034,,,
ethnicity,Chinese,BN,M2ml_logit_noprior,0.07698493061316636,,,
ethnicity,Chinese,BN,M4_context,0.0944283445011736,,,
ethnicity,Chinese,BN,M5_within_seat,0.07646210804683176,0.0061010562812340765,0.06550030773606413,0.08868795893325078
ethnicity,Indian,BN,M1_lpm,0.30249503337133266,0.037948122874335855,0.2347137131230357,0.3801081678001007
ethnicity,Indian,BN,M2_logit,0.2844003403851339,0.03577051248477394,0.2199829262320966,0.3590042040154709
ethnicity,Indian,BN,M3_probit,0.2843991999122878,,,
ethnicity,Indian,BN,M2ml_logit_noprior,0.2843982098897484,,,
ethnicity,Indian,BN,M4_context,0.35730865554686436,,,
ethnicity,Indian,BN,M5_within_seat,0.2450909466810355,0.016935752528660517,0.2129175194257925,0.2770373447153142
ethnicity,Other,BN,M1_lpm,0.4874393166815767,0.05618098121788706,0.39017689403428024,0.6052174011357839
ethnicity,Other,BN,M2_logit,0.4831542987734477,0.055324794416503224,0.386235174313195,0.5983560589440875
ethnicity,Other,BN,M3_probit,0.4831548926229502,,,
ethnicity,Other,BN,M2ml_logit_noprior,0.4831552378936993,,,
ethnicity,Other,BN,M4_context,0.5684799497522242,,,
ethnicity,Other,BN,M5_within_seat,0.5742239871257976,0.044500577817918684,0.48398000043551526,0.6583650208469148
ethnicity,Malay,PH,M1_lpm,0.03261003547053163,0.0028428541452943747,0.027711872017101576,0.0385426120500821
ethnicity,Malay,PH,M2_logit,0.032799984403140615,0.0024465155855937656,0.028506748372864186,0.03776629213612639
ethnicity,Malay,PH,M3_probit,0.03280087297562138,,,
ethnicity,Malay,PH,M2ml_logit_noprior,0.0328012230055092,,,
ethnicity,Malay,PH,M4_context,0.03416020940062566,,,
ethnicity,Malay,PH,M5_within_seat,0.0359607731564927,0.0021597557941347915,0.03212369550508242,0.04032415981445573
ethnicity,Chinese,PH,M1_lpm,0.5272819944450753,0.007499533498003996,0.5114525023845147,0.5401932583277781
ethnicity,Chinese,PH,M2_logit,0.5278489326103806,0.00719107800594815,0.5127157943734443,0.5405411794434405
ethnicity,Chinese,PH,M3_probit,0.5278503323369951,,,
ethnicity,Chinese,PH,M2ml_logit_noprior,0.5278511142406963,,,
ethnicity,Chinese,PH,M4_context,0.526772887677163,,,
ethnicity,Chinese,PH,M5_within_seat,0.5252207949194997,0.007164291459132692,0.5104790038709466,0.5380788250277021
ethnicity,Indian,PH,M1_lpm,0.17984066134486107,0.023493933702427847,0.12951042720845865,0.22301870613538186
ethnicity,Indian,PH,M2_logit,0.17907208916737627,0.021481936288129114,0.13538374810609333,0.2180284764303336
ethnicity,Indian,PH,M3_probit,0.17907454938840872,,,
ethnicity,Indian,PH,M2ml_logit_noprior,0.17907415531619864,,,
ethnicity,Indian,PH,M4_context,0.17963636792806667,,,
ethnicity,Indian,PH,M5_within_seat,0.16602677639606842,0.015165735496971531,0.13370097696876504,0.1917818555772519
ethnicity,Other,PH,M1_lpm,0.06753592895047066,0.02510764913055466,0.0109918113228946,0.10773712981865291
ethnicity,Other,PH,M2_logit,0.05712579903266742,0.017602674909816967,0.023466402737571317,0.08946139678275768
ethnicity,Other,PH,M3_probit,0.057061408238607496,,,
ethnicity,Other,PH,M2ml_logit_noprior,0.0570383240608263,,,
ethnicity,Other,PH,M4_context,0.033840907528301996,,,
ethnicity,Other,PH,M5_within_seat,0.0373564230389226,0.006113463869017422,0.02701101317533476,0.051166500670601696
