election,eth,age,estimand,registered,rate,share_of_electorate
jhr_se15,Malay,18-29,turnout,397408,0.6184642369426716,0.15434309382931333
jhr_se15,Malay,18-29,BN,397408,0.325912070545644,0.15434309382931333
jhr_se15,Malay,18-29,PH,397408,0.030072079439918367,0.15434309382931333
jhr_se15,Malay,18-29,PN,397408,0.23474660156487226,0.15434309382931333
jhr_se15,Malay,30-39,turnout,322659,0.5585166423645958,0.125312495752155
jhr_se15,Malay,30-39,BN,322659,0.29992486454532086,0.125312495752155
jhr_se15,Malay,30-39,PH,322659,0.02115083398408962,0.125312495752155
jhr_se15,Malay,30-39,PN,322659,0.21966497112608807,0.125312495752155
jhr_se15,Malay,40-49,turnout,234621,0.6333283388756663,0.09112079026423052
jhr_se15,Malay,40-49,BN,234621,0.3400279903663973,0.09112079026423052
jhr_se15,Malay,40-49,PH,234621,0.023382284454489307,0.09112079026423052
jhr_se15,Malay,40-49,PN,234621,0.24567120793707214,0.09112079026423052
jhr_se15,Malay,50-59,turnout,188875,0.7283343476932052,0.07335421493027709
jhr_se15,Malay,50-59,BN,188875,0.41321248991069104,0.07335421493027709
jhr_se15,Malay,50-59,PH,188875,0.03352174173965821,0.07335421493027709
jhr_se15,Malay,50-59,PN,188875,0.24760666816674887,0.07335421493027709
jhr_se15,Malay,60-69,turnout,134542,0.7346712322099769,0.05225266861760074
jhr_se15,Malay,60-69,BN,134542,0.5123073280477131,0.05225266861760074
jhr_se15,Malay,60-69,PH,134542,0.021118207998298177,0.05225266861760074
jhr_se15,Malay,60-69,PN,134542,0.1776275949406042,0.05225266861760074
jhr_se15,Malay,70+,turnout,89448,0.5832630649903028,0.03473931339289702
jhr_se15,Malay,70+,BN,89448,0.4458478037979731,0.03473931339289702
jhr_se15,Malay,70+,PH,89448,0.01732931818477198,0.03473931339289702
jhr_se15,Malay,70+,PN,89448,0.08791481760005168,0.03473931339289702
jhr_se15,Chinese,18-29,turnout,209059,0.3676293228652217,0.08119316383379906
jhr_se15,Chinese,18-29,BN,209059,0.020271607181772233,0.08119316383379906
jhr_se15,Chinese,18-29,PH,209059,0.27403457988398355,0.08119316383379906
jhr_se15,Chinese,18-29,PN,209059,0.001991399279298429,0.08119316383379906
jhr_se15,Chinese,30-39,turnout,174991,0.3249991236582888,0.06796202475110055
jhr_se15,Chinese,30-39,BN,174991,0.019114718273458387,0.06796202475110055
jhr_se15,Chinese,30-39,PH,174991,0.2623433529956,0.06796202475110055
jhr_se15,Chinese,30-39,PN,174991,0.004524023716813649,0.06796202475110055
jhr_se15,Chinese,40-49,turnout,177265,0.41371407797765053,0.06884518813826905
jhr_se15,Chinese,40-49,BN,177265,0.03741037597648424,0.06884518813826905
jhr_se15,Chinese,40-49,PH,177265,0.3026646158229619,0.06884518813826905
jhr_se15,Chinese,40-49,PN,177265,0.006655894812196509,0.06884518813826905
jhr_se15,Chinese,50-59,turnout,160898,0.5406482316240145,0.062488664322179865
jhr_se15,Chinese,50-59,BN,160898,0.0679848480479565,0.062488664322179865
jhr_se15,Chinese,50-59,PH,160898,0.384062345788759,0.062488664322179865
jhr_se15,Chinese,50-59,PN,160898,0.010047919883289508,0.062488664322179865
jhr_se15,Chinese,60-69,turnout,128324,0.5746684751624017,0.049837756594111854
