election,eth,age,estimand,registered,share,rate,se_sampling,rmse_ident,error,lo,hi,bound_lo,bound_hi,cite
jhr_se15,Malay,18-29,turnout,397408,0.15434309382931333,0.6184642369426716,0.007264750131036502,0.03516794528066896,0.07038449702396665,0.548079739918705,0.6888487339666383,0.2536788388759159,0.8689759642483291,False
jhr_se15,Malay,30-39,turnout,322659,0.125312495752155,0.5585166423645958,0.006229134367589068,0.01726358314525236,0.035971923197427896,0.5225447191671678,0.5944885655620237,0.1504777489547789,0.8986143265800737,True
jhr_se15,Malay,40-49,turnout,234621,0.09112079026423052,0.6333283388756663,0.007050612251066512,0.005694979112616787,0.017764123504163398,0.6155642153715029,0.6510924623798298,0.16089352615494776,0.9516752549857004,True
jhr_se15,Malay,50-59,turnout,188875,0.07335421493027709,0.7283343476932052,0.009271239131794945,0.0027672344418903628,0.018963793757589314,0.7093705539356159,0.7472981414507944,0.1852706816677697,0.9825916611515553,True
jhr_se15,Malay,60-69,turnout,134542,0.05225266861760074,0.7346712322099769,0.014636998416652424,0.0029392850953573785,0.029261239015998548,0.7054099931939783,0.7639324712259754,0.16116900298791456,0.9906646251728085,True
jhr_se15,Malay,70+,turnout,89448,0.03473931339289702,0.5832630649903028,0.013822476141778834,0.007488908179914109,0.030812832817351095,0.5524502321729516,0.6140758978076539,0.1275377873177712,0.9728892764511224,True
jhr_se15,Chinese,18-29,turnout,209059,0.08119316383379906,0.3676293228652217,0.008053771700861995,0.024675570497517355,0.05087500903489835,0.3167543138303234,0.41850433190012004,0.043030914717854765,0.8553327051215207,False
jhr_se15,Chinese,30-39,turnout,174991,0.06796202475110055,0.3249991236582888,0.008264766502579068,0.008416748653908228,0.02312035999068426,0.3018787636676046,0.34811948364897305,0.017240886674171816,0.8819653582184227,True
jhr_se15,Chinese,40-49,turnout,177265,0.06884518813826905,0.41371407797765053,0.0141922128646495,0.00240433437407247,0.028213090612597948,0.38550098736505256,0.4419271685902485,0.048136970073054466,0.8937804981242772,True
jhr_se15,Chinese,50-59,turnout,160898,0.062488664322179865,0.5406482316240145,0.011109916824536183,0.0020558929418653415,0.02214513332631958,0.5185030982976949,0.5627933649503342,0.12235080610075949,0.9380725677137068,True
jhr_se15,Chinese,60-69,turnout,128324,0.049837756594111854,0.5746684751624017,0.011321148739660773,0.0017063252539974462,0.022440070272037673,0.5522284048903641,0.5971085454344394,0.14793023908232286,0.9386007294036969,True
jhr_se15,Chinese,70+,turnout,104471,0.04057386201445918,0.39519601339509125,0.011859008315830399,0.0020722978743619967,0.023595868201454682,0.37160014519363654,0.41879188159654596,0.10615386088005284,0.8060514401125671,True
jhr_se15,Indian,18-29,turnout,47094,0.018290104026083224,0.32076719950244253,0.03683553476747718,0.04757976788152032,0.11793746770739254,0.20282973179504998,0.4387046672098351,0.0,0.9985136110757209,False
jhr_se15,Indian,30-39,turnout,40067,0.015560997112436331,0.25301187912597645,0.03214142576189305,0.015513586827869293,0.06995148084987783,0.1830603982760986,0.3229633599758543,0.0023211121371702398,0.9980782189832031,False
jhr_se15,Indian,40-49,turnout,37067,0.014395873910367072,0.3516663696938801,0.05484405396915082,0.012170903462626777,0.11010946374316327,0.24155690595071683,0.46177583343704337,0.004262551595759031,0.998812960315105,False
jhr_se15,Indian,50-59,turnout,28158,0.010935846374622063,0.42146988084154924,0.05392545300258519,0.012593360851662547,0.10853777129089895,0.3129321095506503,0.5300076521324482,0.004581291284892393,1.0,False
jhr_se15,Indian,60-69,turnout,21012,0.00816052290729309,0.6147109482261619,0.05086678399546953,0.014525608878424556,0.103684241337793,0.5110267068883689,0.7183951895639549,0.002569960022844089,1.0,False
jhr_se15,Indian,70+,turnout,12196,0.004736614190812227,0.20484764970006794,0.10725478825942311,0.021871998034116102,0.214545918031884,0.0,0.4193935677319519,0.0,0.9995080354214496,False
jhr_se15,Other,18-29,turnout,24391,0.009472840007223763,0.4920737044919475,0.054161300022769795,0.06593037642907462,0.16723591267869492,0.32483779181325256,0.6593096171706424,0.00561682587839777,1.0,False
jhr_se15,Other,30-39,turnout,19578,0.007603594016703983,0.49543946798311533,0.05731989150551041,0.03553079218965434,0.13218027193885026,0.36325919604426504,0.6276197399219656,0.002451731535396874,1.0,False
jhr_se15,Other,40-49,turnout,11384,0.004421254177452147,0.4976233357278827,0.10806545304357706,0.027309212035716738,0.21846690705427851,0.2791564286736042,0.7160902427821612,0.005621925509486999,1.0,False
jhr_se15,Other,50-59,turnout,6474,0.0025143358700654606,0.6051416593604754,0.16310253052804136,0.03969489979867948,0.32901226093569597,0.2761293984247794,0.9341539202961713,0.009267840593141797,1.0,False
jhr_se15,Other,60-69,turnout,3549,0.001378340748047933,0.5747124766539683,0.20142671963490008,0.061521781642664794,0.4128006295566398,0.16191184709732848,0.9875131062106082,0.0005635390250774866,1.0,False
jhr_se15,Other,70+,turnout,1304,0.0005064402184994379,0.3165234083578898,0.09842706245837712,0.1333107051555623,0.3247905747168257,0.0007668711656441718,0.6413139830747154,0.0007668711656441718,1.0,False
jhr_se15,Malay,18-29,BN,397408,0.15434309382931333,0.325912070545644,0.009604831550278334,0.031197332369587792,0.06397910575113339,0.26193296479451056,0.3898911762967774,0.06916821000080522,0.4770135477896771,False
jhr_se15,Malay,30-39,BN,322659,0.125312495752155,0.29992486454532086,0.010171914592891428,0.014759375799697097,0.03513307629403859,0.26479178825128225,0.33505794083935947,0.04118279669868189,0.5901679482053809,True
jhr_se15,Malay,40-49,BN,234621,0.09112079026423052,0.3400279903663973,0.009319591348799033,0.006878294337165242,0.022702665354337282,0.31732532501206,0.3627306557207346,0.03787810980261784,0.6822876042638979,True
jhr_se15,Malay,50-59,BN,188875,0.07335421493027709,0.41321248991069104,0.01322193757932929,0.003207763521680305,0.026666761986282466,0.38654572792440856,0.4398792518969735,0.03542025148908008,0.791872931833223,True
jhr_se15,Malay,60-69,BN,134542,0.05225266861760074,0.5123073280477131,0.021730222513373053,0.003116444952178009,0.04302701354059715,0.46928031450711594,0.5553343415883102,0.04999925673767299,0.880817885864637,True
jhr_se15,Malay,70+,BN,89448,0.03473931339289702,0.4458478037979731,0.014766680921785147,0.006572482081912752,0.03168007523165484,0.4141677285663183,0.47752787902962796,0.04793846704230391,0.8543734907432251,True
jhr_se15,Chinese,18-29,BN,209059,0.08119316383379906,0.020271607181772233,0.00822729110076621,0.024621714596747814,0.0508814319554098,0.0,0.07115303913718203,0.0,0.418618667457512,False
jhr_se15,Chinese,30-39,BN,174991,0.06796202475110055,0.019114718273458387,0.006481548973310949,0.006219465651532161,0.017606455381216236,0.0015082628922421515,0.03672117365467462,0.0,0.45041745004028777,True
jhr_se15,Chinese,40-49,BN,177265,0.06884518813826905,0.03741037597648424,0.008129284349589667,0.0021434747826872065,0.016477964698657623,0.02093241127782662,0.053888340675141866,0.0002707810340450738,0.44315008602939104,True
jhr_se15,Chinese,50-59,BN,160898,0.062488664322179865,0.0679848480479565,0.008446853866670915,0.0014109824749315325,0.016785224383676828,0.05119962366427967,0.08477007243163333,8.079652947830303e-05,0.4789618267473803,True
jhr_se15,Chinese,60-69,BN,128324,0.049837756594111854,0.06739124429517833,0.00882285112659039,0.0013128592534161025,0.017483189169596694,0.049908055125581635,0.08487443346477502,0.0024936878526230478,0.49752189769645583,True
jhr_se15,Chinese,70+,BN,104471,0.04057386201445918,0.08422049229418518,0.00973349620776898,0.0016178560653514913,0.01933939128002986,0.06488110101415533,0.10355988357421504,0.0024887289295593995,0.4321199184462674,True
jhr_se15,Indian,18-29,BN,47094,0.018290104026083224,0.08729547679538893,0.035248031085902264,0.041958346550781074,0.10740597096430217,0.0,0.19470144775969112,0.0,0.881789612264832,False
jhr_se15,Indian,30-39,BN,40067,0.015560997112436331,0.09099674934879841,0.025693247811007167,0.012774955958564179,0.056240132307858744,0.034756617040939665,0.14723688165665716,0.0,0.8749095265430404,False
jhr_se15,Indian,40-49,BN,37067,0.014395873910367072,0.11862767889338527,0.028478240245922656,0.008673363931808712,0.05834869006193455,0.06027898883145072,0.17697636895531982,0.0,0.86786090053147,False
jhr_se15,Indian,50-59,BN,28158,0.010935846374622063,0.13019015543385568,0.0429335085553488,0.008485499822256371,0.0857774885500184,0.04441266688383727,0.21596764398387408,0.0,0.9454151573265147,False
jhr_se15,Indian,60-69,BN,21012,0.00816052290729309,0.2319621305277932,0.044262470985342924,0.010449712806373293,0.08913934411200547,0.14282278641578772,0.32110147463979866,0.0,0.9746811345897582,False
jhr_se15,Indian,70+,BN,12196,0.004736614190812227,0.1169701874378957,0.08649689625422415,0.016796785957102038,0.17270086062241435,0.0,0.2896710480603101,0.0,0.9576910462446704,False
jhr_se15,Other,18-29,BN,24391,0.009472840007223763,0.29800447003608854,0.04702564260801131,0.056799225078933306,0.14453007349594882,0.15347439654013972,0.44253454353203736,0.0,0.9740888032470993,False
jhr_se15,Other,30-39,BN,19578,0.007603594016703983,0.25122099986058694,0.04749680469553289,0.028136122439582526,0.10820172574721407,0.14301927411337287,0.359422725607801,0.0,0.9855960772295433,False
jhr_se15,Other,40-49,BN,11384,0.004421254177452147,0.22559825798280764,0.0864279483048714,0.029413409404339258,0.1789399376382826,0.04665832034452505,0.4045381956210902,0.0,0.992709065354884,False
jhr_se15,Other,50-59,BN,6474,0.0025143358700654606,0.3353739207140494,0.16143474944290376,0.03451813459780061,0.3235643603243739,0.01180956038967551,0.6589382810384233,0.0,1.0,False
jhr_se15,Other,60-69,BN,3549,0.001378340748047933,0.337604380085676,0.19989812508275923,0.07251806119670667,0.41678527650925,0.0,0.754389656594926,0.0,1.0,False
jhr_se15,Other,70+,BN,1304,0.0005064402184994379,0.006416149036885978,0.005187486014261271,0.10468276739049595,0.2054299908427538,0.0,0.21184613987963977,0.0,1.0,False
jhr_se15,Malay,18-29,PH,397408,0.15434309382931333,0.030072079439918367,0.004164790944391703,0.010802086780852165,0.022691227570077285,0.007380851869841082,0.05276330700999565,0.0011449190756099524,0.22648763990659473,True
jhr_se15,Malay,30-39,PH,322659,0.125312495752155,0.02115083398408962,0.0030694888766080453,0.003376260715524094,0.00894346483346414,0.01220736915062548,0.03009429881755376,0.00027273375297140327,0.26173762393114713,True
jhr_se15,Malay,40-49,PH,234621,0.09112079026423052,0.023382284454489307,0.0031477794820169644,0.0011912837407885236,0.006596695167364493,0.016785589287124814,0.0299789796218538,0.0005370363266715256,0.32310833216123025,True
jhr_se15,Malay,50-59,PH,188875,0.07335421493027709,0.03352174173965821,0.0058575983508104956,0.0010966234532193495,0.011680357083007497,0.02184138465665071,0.04520209882266571,0.0002011912640635341,0.37384513567174055,True
jhr_se15,Malay,60-69,PH,134542,0.05225266861760074,0.021118207998298177,0.0049042527884687135,0.0013576342760049877,0.009973851720866818,0.011144356277431358,0.031092059719164997,1.4865246540113868e-05,0.37933136121062566,True
jhr_se15,Malay,70+,PH,89448,0.03473931339289702,0.01732931818477198,0.0032837265745006144,0.0017113593144981094,0.0072577217160739085,0.01007159646869807,0.02458703990084589,0.0,0.32751989983006885,True
jhr_se15,Chinese,18-29,PH,209059,0.08119316383379906,0.27403457988398355,0.03246767035666537,0.012890191824181559,0.06846846046969696,0.2055661194142866,0.3425030403536805,0.003319637040261362,0.4383021061040185,False
jhr_se15,Chinese,30-39,PH,174991,0.06796202475110055,0.2623433529956,0.01596380867671439,0.005855856506933841,0.03332773780968867,0.22901561518591135,0.2956710908052887,0.002000102862432925,0.514935053802767,True
jhr_se15,Chinese,40-49,PH,177265,0.06884518813826905,0.3026646158229619,0.0272761388417429,0.0021909928023453873,0.05363342938395179,0.2490311864390101,0.35629804520691366,0.009499901277748005,0.5764476913096211,False
jhr_se15,Chinese,50-59,PH,160898,0.062488664322179865,0.384062345788759,0.024949330579823903,0.0016440576465298086,0.049006742795585256,0.3350556029931737,0.43306908858434423,0.03030491367201581,0.6584606396599088,True
jhr_se15,Chinese,60-69,PH,128324,0.049837756594111854,0.42270286582028216,0.019727484551295055,0.0019811439725617376,0.03886035895183694,0.38384250686844523,0.4615632247721191,0.05421433247093295,0.6815638539945762,True
jhr_se15,Chinese,70+,PH,104471,0.04057386201445918,0.2501336641627395,0.013583313727686595,0.001384594570303946,0.026761251300826634,0.2233724128619129,0.27689491546356615,0.03262149304591705,0.5089354940605527,True
jhr_se15,Indian,18-29,PH,47094,0.018290104026083224,0.16186737667140932,0.053593958258572265,0.02075429307153213,0.11264549955020654,0.04922187712120278,0.27451287622161585,0.0,0.7707138913662037,False
jhr_se15,Indian,30-39,PH,40067,0.015560997112436331,0.06822578084726781,0.03498311850919982,0.008981877291507654,0.07079081266311911,0.0,0.13901659351038692,0.0,0.7564080165722415,False
jhr_se15,Indian,40-49,PH,37067,0.014395873910367072,0.12248021356806371,0.04662180837390775,0.007902366216011807,0.0926821063143015,0.02979810725376221,0.21516231988236523,0.0,0.8096419996223055,False
jhr_se15,Indian,50-59,PH,28158,0.010935846374622063,0.1715158126217854,0.04693126014592697,0.00921811890485743,0.09374286588291664,0.07777294673886875,0.26525867850470203,0.0,0.8522267206477733,False
jhr_se15,Indian,60-69,PH,21012,0.00816052290729309,0.1798052227656536,0.04132063702413671,0.011794933502589203,0.0842233574869747,0.09558186527867892,0.2640285802526283,0.0,0.8330953740719589,False
jhr_se15,Indian,70+,PH,12196,0.004736614190812227,0.04918949598937394,0.02408881424205409,0.013042886377934658,0.05369068811376243,0.0,0.10288018410313637,0.0,0.8323220728107577,False
jhr_se15,Other,18-29,PH,24391,0.009472840007223763,0.03010771170630482,0.02522585088277197,0.014236598653905398,0.05677319550457368,0.0,0.0868809072108785,0.0,0.6744700914271657,False
jhr_se15,Other,30-39,PH,19578,0.007603594016703983,0.011335930124028951,0.017953209459106407,0.006206843280860098,0.03723188231144033,0.0,0.04856781243546929,0.0,0.695678823168863,False
jhr_se15,Other,40-49,PH,11384,0.004421254177452147,0.07516031021206375,0.054056652735825106,0.012617935581191496,0.10879913927602024,0.0,0.183959449488084,0.0,0.8005094869992972,False
jhr_se15,Other,50-59,PH,6474,0.0025143358700654606,0.10882426261972634,0.05553572838391585,0.02317264859188204,0.11794557549322637,0.0,0.2267698381129527,0.0,0.8582020389249305,False
jhr_se15,Other,60-69,PH,3549,0.001378340748047933,0.03621871780470855,0.03756385660790379,0.02799693296404971,0.0918249348300995,0.0,0.12804365263480805,0.0,0.8641870949563257,False
jhr_se15,Other,70+,PH,1304,0.0005064402184994379,0.10760933554552034,0.10045296463315302,0.04215167057658307,0.2135191420282614,0.0,0.3211284775737817,0.0,0.8934049079754601,False
jhr_se15,Malay,18-29,PN,397408,0.15434309382931333,0.23474660156487226,0.006949873204924618,0.021065129207134204,0.04347668828220968,0.19126991328266257,0.27822328984708194,0.035313833642000164,0.33873500281826235,True
jhr_se15,Malay,30-39,PN,322659,0.125312495752155,0.21966497112608807,0.007058920343216643,0.012219382111341527,0.02765904163439471,0.19200592949169337,0.24732401276048277,0.02072466597863379,0.451988012111858,True
jhr_se15,Malay,40-49,PN,234621,0.09112079026423052,0.24567120793707214,0.006808790701834526,0.004248848429195841,0.015730431015246824,0.22994077692182532,0.261401638952319,0.017129753943594138,0.5116848022981745,True
jhr_se15,Malay,50-59,PN,188875,0.07335421493027709,0.24760666816674887,0.00882023248054102,0.0021141573485425587,0.01777733638967344,0.22982933177707543,0.2653840045564223,0.009726009265387161,0.5142766379880873,True
jhr_se15,Malay,60-69,PN,134542,0.05225266861760074,0.1776275949406042,0.010173240351441416,0.0025595276682550488,0.020560951290045093,0.1570666436505591,0.1981885462306493,0.005121077433069227,0.45423733852625947,True
jhr_se15,Malay,70+,PN,89448,0.03473931339289702,0.08791481760005168,0.004998990226957945,0.004742777970574608,0.013506070614232733,0.07440874698581895,0.10142088821428441,0.0,0.4070745013862803,True
jhr_se15,Chinese,18-29,PN,209059,0.08119316383379906,0.001991399279298429,0.0020837629611330922,0.01072787092375286,0.02141960625618972,0.0,0.02341100553548815,0.0,0.3048039070310295,True
jhr_se15,Chinese,30-39,PN,174991,0.06796202475110055,0.004524023716813649,0.00296275780400671,0.0022545333410692076,0.007297113006471536,0.0,0.011821136723285185,0.0,0.3357772685452395,True
jhr_se15,Chinese,40-49,PN,177265,0.06884518813826905,0.006655894812196509,0.0027913622306851796,0.001073976116400062,0.005862047676556156,0.0007938471356403526,0.012517942488752664,0.0,0.3116633289143373,True
jhr_se15,Chinese,50-59,PN,160898,0.062488664322179865,0.010047919883289508,0.0021506660752418846,0.0010748985572589461,0.004712474053046949,0.005335445830242559,0.014760393936336456,0.0,0.2937513207125011,True
jhr_se15,Chinese,60-69,PN,128324,0.049837756594111854,0.022776048612163712,0.0032305288222536873,0.0010269964802469697,0.006644093053976334,0.016131955558187378,0.029420141666140046,0.0,0.2548159346653783,True
jhr_se15,Chinese,70+,PN,104471,0.04057386201445918,0.015945433266986685,0.0021709619705555026,0.0008338741477770706,0.004558178786243809,0.011387254480742875,0.020503612053230494,0.0,0.19573853030984675,True
jhr_se15,Indian,18-29,PN,47094,0.018290104026083224,0.005743693525612909,0.010353044867439263,0.020187509505736,0.04446743182958803,0.0,0.05021112535520094,0.0,0.7216630568649934,True
jhr_se15,Indian,30-39,PN,40067,0.015560997112436331,0.0118470103424099,0.010535305773243912,0.006881371251750401,0.024663774155126616,0.0,0.036510784497536516,0.0,0.7190206404272843,True
jhr_se15,Indian,40-49,PN,37067,0.014395873910367072,0.04714970936496223,0.011895401893218503,0.004900136589300437,0.02521568183278856,0.02193402753217367,0.07236539119775079,0.0,0.71322200339925,False
