election,dim,group,estimand,rate,error
jhr_se15,ethnicity,Malay,turnout,0.6311749427340516,0.03413854459680044
jhr_se15,ethnicity,Chinese,turnout,0.4283573180367657,0.022878096196899806
jhr_se15,ethnicity,Indian,turnout,0.35325081664470864,0.08085494669815775
jhr_se15,ethnicity,Other,turnout,0.5059525478585195,0.14406600483288892
jhr_se15,ethnicity,Malay,BN,0.36044217960450875,0.034359730163518815
jhr_se15,ethnicity,Chinese,BN,0.04460649026321952,0.020473665486245875
jhr_se15,ethnicity,Indian,BN,0.1191885686134818,0.06602909428527694
jhr_se15,ethnicity,Other,BN,0.27194027742603494,0.12096210036850241
jhr_se15,ethnicity,Malay,PH,0.025581564015511395,0.01099662514575311
jhr_se15,ethnicity,Chinese,PH,0.3131057163278876,0.04355210138768049
jhr_se15,ethnicity,Indian,PH,0.12987533735002638,0.07629721378026243
jhr_se15,ethnicity,Other,PH,0.04177126704995847,0.050860730011606285
jhr_se15,ethnicity,Malay,PN,0.21961530395081713,0.023972799767587153
jhr_se15,ethnicity,Chinese,PN,0.008997913948750146,0.007562621650417241
jhr_se15,ethnicity,Indian,PN,0.02359395242764044,0.02609309389764541
jhr_se15,ethnicity,Other,PN,0.13019580721243051,0.09635371870424038
jhr_se15,age,18-29,turnout,0.5158879010658937,0.06702486215149311
jhr_se15,age,30-39,turnout,0.46101164342389517,0.030275411851544247
jhr_se15,age,40-49,turnout,0.5227242555072158,0.017052636475364674
jhr_se15,age,50-59,turnout,0.625222890180489,0.016452784025169004
jhr_se15,age,60-69,turnout,0.6524921296694736,0.016980896335974018
jhr_se15,age,70+,turnout,0.4646117559765108,0.024412545555139293
jhr_se15,age,18-29,BN,0.21408262866702904,0.06131409228840317
jhr_se15,age,30-39,BN,0.19501831530185684,0.026064268441106625
jhr_se15,age,40-49,BN,0.20283974602876453,0.0149542503372199
jhr_se15,age,50-59,BN,0.24667015328237443,0.013369275360594807
jhr_se15,age,60-69,BN,0.29101967732573464,0.020379719102304943
jhr_se15,age,70+,BN,0.24160625819680742,0.021039427363021883
jhr_se15,age,18-29,PH,0.11445886967693378,0.03034752538628151
jhr_se15,age,30-39,PH,0.09992512013870775,0.014728743562640544
jhr_se15,age,40-49,PH,0.1401873347843767,0.020319159415069548
jhr_se15,age,50-59,PH,0.19162173439940175,0.022327697885048674
jhr_se15,age,60-69,PH,0.2121958482128323,0.019586596541750514
jhr_se15,age,70+,PH,0.13702710237912055,0.014154273188851265
jhr_se15,age,18-29,PN,0.1430227000696634,0.03847464648274456
jhr_se15,age,30-39,PN,0.13434569054545675,0.01870835697246369
jhr_se15,age,40-49,PN,0.13610679634577452,0.00946422933510151
jhr_se15,age,50-59,PN,0.13018975041504954,0.009066256151687085
jhr_se15,age,60-69,PN,0.09676134875015556,0.010350099229879433
jhr_se15,age,70+,PN,0.046494695880843304,0.00794921437330824
ge15,ethnicity,Malay,turnout,0.7827305572796427,0.030697947320142603
ge15,ethnicity,Chinese,turnout,0.6897127534875978,0.02194777323658917
ge15,ethnicity,Indian,turnout,0.6863967576822855,0.06744937610822262
ge15,ethnicity,Other,turnout,0.6276284786629193,0.11426774328318438
ge15,ethnicity,Malay,BN,0.3654928359315635,0.035740646922832256
ge15,ethnicity,Chinese,BN,0.04581949936557092,0.018656065392573515
ge15,ethnicity,Indian,BN,0.06217244835624766,0.07313193083305451
ge15,ethnicity,Other,BN,0.22132755527809822,0.18006942570102297
ge15,ethnicity,Malay,PH,0.0631658738021442,0.01975791354658808
ge15,ethnicity,Chinese,PH,0.6308736444638653,0.023658853188418323
ge15,ethnicity,Indian,PH,0.6095137816107168,0.0970863248611655
ge15,ethnicity,Other,PH,0.1354988838262938,0.08929764024715019
ge15,ethnicity,Malay,PN,0.34456431413715216,0.03916724518784429
ge15,ethnicity,Chinese,PN,0.00523063729741153,0.011030436006225986
ge15,ethnicity,Indian,PN,0.006147922170528241,0.03321320392785334
ge15,ethnicity,Other,PN,0.25526994730916275,0.20983571849543056
ge15,age,18-29,turnout,0.7417537012013155,0.05909435806614969
ge15,age,30-39,turnout,0.6973377514463738,0.027670869962360425
ge15,age,40-49,turnout,0.7508574104533081,0.018220562399658954
ge15,age,50-59,turnout,0.8030902244560617,0.014331017066538318
ge15,age,60-69,turnout,0.8068379418604095,0.01478870509815726
ge15,age,70+,turnout,0.5765806566363143,0.02589674017296771
ge15,age,18-29,BN,0.1777502592284443,0.05521079474627215
ge15,age,30-39,BN,0.2003646147260703,0.027571797065454495
ge15,age,40-49,BN,0.21157562449224096,0.01683752476959618
ge15,age,50-59,BN,0.2526454378322875,0.018937559366175603
ge15,age,60-69,BN,0.3156475946725585,0.022811944986743417
ge15,age,70+,BN,0.2678698802606826,0.025157050816442154
ge15,age,18-29,PH,0.30160666879087394,0.038548541495410135
ge15,age,30-39,PH,0.2672272993182696,0.019379721605698303
ge15,age,40-49,PH,0.3364980008370092,0.014116196551615674
ge15,age,50-59,PH,0.375434687690438,0.013295754370939305
ge15,age,60-69,PH,0.3702963591954762,0.016430907339199018
ge15,age,70+,PH,0.24404037395252376,0.015410300272066217
ge15,age,18-29,PN,0.2571327112145631,0.06344432388280666
ge15,age,30-39,PN,0.2238097091246107,0.027860515519807588
ge15,age,40-49,PN,0.1950925934596927,0.018905461023885784
ge15,age,50-59,PN,0.16341243251063103,0.01675814543475486
ge15,age,60-69,PN,0.10622694083078961,0.013747804588306003
ge15,age,70+,PN,0.04427300965239341,0.012566424759423149
jhr_se16,ethnicity,Malay,turnout,0.7554336506951675,0.03525307111774862
jhr_se16,ethnicity,Chinese,turnout,0.6098931078017992,0.025285851073518235
jhr_se16,ethnicity,Indian,turnout,0.5532688772737465,0.07281027825254392
jhr_se16,ethnicity,Other,turnout,0.6566930141492585,0.10131015623093881
jhr_se16,ethnicity,Malay,BN,0.6410886232796407,0.04373025568003888
jhr_se16,ethnicity,Chinese,BN,0.06840064785987293,0.02376321545258077
jhr_se16,ethnicity,Indian,BN,0.2722546198671691,0.0817624697653287
jhr_se16,ethnicity,Other,BN,0.4769600582070167,0.09890061630638536
jhr_se16,ethnicity,Malay,PH,0.036280649364398225,0.008879607441708539
