election,dim,group,party,share_of_registered,turnout,share_of_voters,error,se_sampling,rmse_ident,cite
jhr_se15,ethnicity,Malay,BN,0.36044217960450875,0.6311749427340516,0.5710654134069176,0.025629523712262996,0.011326589413474667,0.006534345405124905,True
jhr_se15,ethnicity,Chinese,BN,0.04460649026321952,0.4283573180367657,0.10413383496670173,0.03778186938446196,0.01614585585918708,0.01053059361219607,True
jhr_se15,ethnicity,Indian,BN,0.1191885686134818,0.35325081664470864,0.33740493439073593,0.1318927824040889,0.06307482476522419,0.023448059536137208,False
jhr_se15,ethnicity,Other,BN,0.27194027742603494,0.5059525478585195,0.5374817827818867,0.11813184559760928,0.05159930514085545,0.03114718791569802,False
jhr_se15,ethnicity,Malay,PH,0.025581564015511395,0.6311749427340516,0.0405300690561322,0.01284429564359171,0.005323001541824504,0.0038223347484397105,True
jhr_se15,ethnicity,Chinese,PH,0.3131057163278876,0.4283573180367657,0.7309451785787254,0.09439620981281312,0.047352274173631144,0.008790676084153057,False
jhr_se15,ethnicity,Indian,PH,0.12987533735002638,0.35325081664470864,0.3676575714208523,0.21685978184568652,0.10997835531779973,0.012106963637761566,False
jhr_se15,ethnicity,Other,PH,0.04177126704995847,0.5059525478585195,0.08255965352236758,0.08840341770084059,0.04399005394665062,0.00996125161382033,False
jhr_se15,ethnicity,Malay,PN,0.21961530395081713,0.6311749427340516,0.34794680378075943,0.022274660451862854,0.010202124748940476,0.0050071248491483575,True
jhr_se15,ethnicity,Chinese,PN,0.008997913948750146,0.4283573180367657,0.02100562677436938,0.013122450294293098,0.00444216557336609,0.005009181565263362,True
jhr_se15,ethnicity,Indian,PN,0.02359395242764044,0.35325081664470864,0.06679093526730805,0.061339297075371335,0.02566722309772862,0.017905466132201262,False
jhr_se15,ethnicity,Other,PN,0.13019580721243051,0.5059525478585195,0.2573280987782226,0.13805286865704844,0.061126854752726785,0.03499451617179236,False
jhr_se15,age,18-29,BN,0.21408262866702904,0.5158879010658937,0.4149789677654886,0.03011849180308664,0.00868555302021889,0.01267646919598883,True
jhr_se15,age,30-39,BN,0.19501831530185684,0.46101164342389517,0.4230225376814174,0.03311541952067578,0.009140951661634119,0.014209329765839607,True
jhr_se15,age,40-49,BN,0.20283974602876453,0.5227242555072158,0.3880434930878475,0.018274511247440704,0.008113076605076415,0.004594554752097011,True
jhr_se15,age,50-59,BN,0.24667015328237443,0.625222890180489,0.3945315457199045,0.01582745903396192,0.007826166515082769,0.001990106800956455,True
jhr_se15,age,60-69,BN,0.29101967732573464,0.6524921296694736,0.4460125480335733,0.02205605497964654,0.011149747276162116,0.0015215629846508263,True
jhr_se15,age,70+,BN,0.24160625819680742,0.4646117559765108,0.5200175309576588,0.02513999963250668,0.011703929251940049,0.005247658792506996,True
jhr_se15,age,18-29,PH,0.11445886967693378,0.5158879010658937,0.2218677147505231,0.03715184744382119,0.018329141094915933,0.004830686221841934,True
jhr_se15,age,30-39,PH,0.09992512013870775,0.46101164342389517,0.2167518360199586,0.027003619141537177,0.012844098817027895,0.004984444136665208,True
jhr_se15,age,40-49,PH,0.1401873347843767,0.5227242555072158,0.2681860145333193,0.03703405059129255,0.01880300208255609,0.0018615200772078308,True
jhr_se15,age,50-59,PH,0.19162173439940175,0.625222890180489,0.30648547487454353,0.034558383090885096,0.017601793957797335,0.0010286942611905207,True
jhr_se15,age,60-69,PH,0.2121958482128323,0.6524921296694736,0.3252082876774655,0.029830920996941988,0.015197580789727333,0.000823167705674068,True
jhr_se15,age,70+,PH,0.13702710237912055,0.4646117559765108,0.2949281859885788,0.027461188750927977,0.01369273156940364,0.002968487069010234,True
jhr_se15,age,18-29,PN,0.1430227000696634,0.5158879010658937,0.2772360037406562,0.02792559007335104,0.007683053556188932,0.011998711146687723,True
jhr_se15,age,30-39,PN,0.13434569054545675,0.46101164342389517,0.29141496199029265,0.03131001981538109,0.007712631632801309,0.013989280200829858,True
jhr_se15,age,40-49,PN,0.13610679634577452,0.5227242555072158,0.2603797220270672,0.014858530290857418,0.006463173740223582,0.003961965327097649,True
jhr_se15,age,50-59,PN,0.13018975041504954,0.625222890180489,0.20822934102343316,0.012497628029807271,0.006167300105366585,0.0016192997901059343,True
jhr_se15,age,60-69,PN,0.09676134875015556,0.6524921296694736,0.14829504349603573,0.014686264747213053,0.0073312651940751015,0.0015483807776640927,True
jhr_se15,age,70+,PN,0.046494695880843304,0.4646117559765108,0.10007214686834984,0.013544469667618414,0.005452793568757148,0.004245147175013277,True
ge15,ethnicity,Malay,BN,0.3654928359315635,0.7827305572796427,0.466945914570939,0.03006539074679957,0.014241661748947225,0.005698672914949938,True
ge15,ethnicity,Chinese,BN,0.04581949936557092,0.6897127534875978,0.06643272744179413,0.023657517007287056,0.01075204380463475,0.005484738682438275,True
ge15,ethnicity,Indian,BN,0.06217244835624766,0.6863967576822855,0.09057800413594845,0.10642915326230419,0.05343494172532257,0.009657168493074606,False
ge15,ethnicity,Other,BN,0.22132755527809822,0.6276284786629193,0.3526410333540118,0.2733981155546058,0.13420200703856944,0.03803887810753934,False
ge15,ethnicity,Malay,PH,0.0631658738021442,0.7827305572796427,0.0806993839893965,0.018738594108827996,0.008439802178079608,0.004491440424317088,True
ge15,ethnicity,Chinese,PH,0.6308736444638653,0.6897127534875978,0.9146904146310084,0.023120842610597197,0.010176624188340942,0.005965748289462457,True
ge15,ethnicity,Indian,PH,0.6095137816107168,0.6863967576822855,0.8879904731322235,0.10278357003612996,0.05050374676143434,0.014120473514913197,False
ge15,ethnicity,Other,PH,0.1354988838262938,0.6276284786629193,0.2158902733587815,0.10658358423415444,0.05156699803065656,0.017261565742781447,False
ge15,ethnicity,Malay,PN,0.34456431413715216,0.7827305572796427,0.4402080779044521,0.03273491692234495,0.015286722837070698,0.006727244150119416,True
ge15,ethnicity,Chinese,PN,0.00523063729741153,0.6897127534875978,0.007583790891153336,0.013726560066169189,0.0024634093621767393,0.006555797673209519,True
ge15,ethnicity,Indian,PN,0.006147922170528241,0.6863967576822855,0.008956805377821946,0.042187033783756024,0.015051391527100857,0.015386294309186697,True
ge15,ethnicity,Other,PN,0.25526994730916275,0.6276284786629193,0.40672142196762984,0.3162869747292833,0.15600153265877234,0.041280636400771425,False
ge15,age,18-29,BN,0.1777502592284443,0.7417537012013155,0.23963514970072533,0.03166832940113706,0.012080690112944452,0.010729194868513932,True
ge15,age,30-39,BN,0.2003646147260703,0.6973377514463738,0.2873279330001663,0.03237004956330673,0.011077775058177766,0.01224904369073786,True
ge15,age,40-49,BN,0.21157562449224096,0.7508574104533081,0.28177869931989935,0.02264318246761663,0.011174779623079374,0.002930509588720826,True
ge15,age,50-59,BN,0.2526454378322875,0.8030902244560617,0.3145915989743318,0.02194940853451899,0.011125919004839696,0.001274484718442149,True
ge15,age,60-69,BN,0.3156475946725585,0.8068379418604095,0.3912156063765882,0.025108842737430807,0.012747659321383054,0.0012686711873194755,True
ge15,age,70+,BN,0.2678698802606826,0.5765806566363143,0.46458353601974023,0.029081372785954938,0.013447437248513465,0.006270240158233175,True
ge15,age,18-29,PH,0.30160666879087394,0.7417537012013155,0.40661296101711863,0.017409370868439782,0.006056357537490442,0.006497411521652768,True
ge15,age,30-39,PH,0.2672272993182696,0.6973377514463738,0.3832107164197029,0.01887468727770602,0.006148331751406405,0.00741173454792351,True
ge15,age,40-49,PH,0.3364980008370092,0.7508574104533081,0.44815166788306504,0.012125803753630312,0.0059556312894119175,0.0016747845308462126,True
ge15,age,50-59,PH,0.375434687690438,0.8030902244560617,0.46748755775818635,0.013760286864598386,0.006948803122907065,0.00100115981044116,True
ge15,age,60-69,PH,0.3702963591954762,0.8068379418604095,0.45894762750205537,0.02069284740167721,0.01048434706672099,0.0012413141393083995,True
ge15,age,70+,PH,0.24404037395252376,0.5765806566363143,0.4232545284751989,0.020799210567675162,0.0099773169557325,0.0036144625713576046,True
ge15,age,18-29,PN,0.2571327112145631,0.7417537012013155,0.3466551104472023,0.031738788848107,0.012087498987722807,0.010775621802259015,True
ge15,age,30-39,PN,0.2238097091246107,0.6973377514463738,0.3209487922608503,0.03345385903537874,0.011548588368258231,0.01256808718369809,True
ge15,age,40-49,PN,0.1950925934596927,0.7508574104533081,0.2598264207606492,0.021199223263446667,0.010513254977805689,0.0025408299139156806,True
ge15,age,50-59,PN,0.16341243251063103,0.8030902244560617,0.20347954381005118,0.019143079063605812,0.009675812072521241,0.0013306195931165317,True
ge15,age,60-69,PN,0.10622694083078961,0.8068379418604095,0.13165833597990098,0.015381532341837447,0.007687666448874942,0.0015768649000270623,True
ge15,age,70+,PN,0.04427300965239341,0.5765806566363143,0.07678545775481883,0.020291720841567377,0.008637895931603254,0.005706985323814131,True
jhr_se16,ethnicity,Malay,BN,0.6410886232796407,0.7554336506951675,0.8486365714443566,0.02743131194846683,0.013685712480574715,0.0029286820458672676,True
jhr_se16,ethnicity,Chinese,BN,0.06840064785987293,0.6098931078017992,0.11215186232617917,0.030980653895047523,0.012845784206147504,0.009210313870179116,True
jhr_se16,ethnicity,Indian,BN,0.2722546198671691,0.5532688772737465,0.4920837427341189,0.1127449516250222,0.05521095811102129,0.016144289958035622,False
jhr_se16,ethnicity,Other,BN,0.4769600582070167,0.6566930141492585,0.7263059723955116,0.06159902492195205,0.02898023768311866,0.012160166750241978,False
jhr_se16,ethnicity,Malay,PH,0.036280649364398225,0.7554336506951675,0.048026255291926605,0.00845949778230886,0.003500436900846425,0.0025249562991604643,True
jhr_se16,ethnicity,Chinese,PH,0.5223475767828771,0.6098931078017992,0.8564575826500859,0.028452625516139224,0.01119999525751148,0.009235426778638253,True
jhr_se16,ethnicity,Indian,PH,0.17325866616445834,0.5532688772737465,0.3131545497700811,0.07717660841184684,0.036762360121300665,0.014106173388821353,False
jhr_se16,ethnicity,Other,PH,0.07863520111486452,0.6566930141492585,0.11974423272453402,0.05591796722526551,0.027001194317351995,0.00921260884196818,False
