target,kappa,kappa_used,lo,hi,width
GE-15 Malay BN,0.0,1.7012116928336727,18.853838378211012,40.66422472530349,21.810386347092482
GE-15 Malay BN,0.1,1.7012116928336727,18.853838378211012,40.66422472530349,21.810386347092482
GE-15 Malay BN,0.2,1.7012116928336727,18.853838378211012,40.66422472530349,21.810386347092482
GE-15 Malay BN,0.3,1.7012116928336727,18.853838378211012,40.66422472530349,21.810386347092482
GE-15 Malay BN,0.5,1.7012116928336727,18.853838378211012,40.66422472530349,21.810386347092482
GE-15 Malay BN,0.75,1.7012116928336727,18.853838378211012,40.66422472530349,21.810386347092482
GE-15 Malay BN,1.0,1.7012116928336727,18.853838378211012,40.66422472530349,21.810386347092482
GE-15 Malay BN,1.5,1.7012116928336727,18.853838378211012,40.66422472530349,21.810386347092482
GE-15 Malay BN,2.0,2.0,16.81893756989878,40.75616878232949,23.93723121243071
GE-15 Malay BN,3.0,3.0,16.39604399651171,40.76875734429017,24.372713347778465
GE-15 Malay BN,inf,inf,16.39604399651171,40.76875734429017,24.372713347778465
GE-15 Malay PN,0.0,1.3666112894543077,14.567219664297124,35.98441902136665,21.417199357069524
GE-15 Malay PN,0.1,1.3666112894543077,14.567219664297124,35.98441902136665,21.417199357069524
GE-15 Malay PN,0.2,1.3666112894543077,14.567219664297124,35.98441902136665,21.417199357069524
GE-15 Malay PN,0.3,1.3666112894543077,14.567219664297124,35.98441902136665,21.417199357069524
GE-15 Malay PN,0.5,1.3666112894543077,14.567219664297124,35.98441902136665,21.417199357069524
GE-15 Malay PN,0.75,1.3666112894543077,14.567219664297124,35.98441902136665,21.417199357069524
GE-15 Malay PN,1.0,1.3666112894543077,14.567219664297124,35.98441902136665,21.417199357069524
GE-15 Malay PN,1.5,1.5,14.085683648876627,36.07469717476853,21.989013525891902
GE-15 Malay PN,2.0,2.0,13.955184334887308,36.11873744486059,22.163553109973286
GE-15 Malay PN,3.0,3.0,13.955184334887308,36.1222727809823,22.167088446094994
GE-15 Malay PN,inf,inf,13.955184334887308,36.1222727809823,22.167088446094994
GE-15 Malay turnout,0.0,1.4914436815777206,60.58974460302563,89.88843065176069,29.298686048735057
GE-15 Malay turnout,0.1,1.4914436815777206,60.58974460302563,89.88843065176069,29.298686048735057
GE-15 Malay turnout,0.2,1.4914436815777206,60.58974460302563,89.88843065176069,29.298686048735057
GE-15 Malay turnout,0.3,1.4914436815777206,60.58974460302563,89.88843065176069,29.298686048735057
GE-15 Malay turnout,0.5,1.4914436815777206,60.58974460302563,89.88843065176069,29.298686048735057
GE-15 Malay turnout,0.75,1.4914436815777206,60.58974460302563,89.88843065176069,29.298686048735057
GE-15 Malay turnout,1.0,1.4914436815777206,60.58974460302563,89.88843065176069,29.298686048735057
GE-15 Malay turnout,1.5,1.5,60.53718977746407,89.96428431715557,29.427094539691502
GE-15 Malay turnout,2.0,2.0,58.572401310948926,91.78874831185533,33.216347000906396
GE-15 Malay turnout,3.0,3.0,58.16786555445449,91.78874831185533,33.620882757400835
GE-15 Malay turnout,inf,inf,58.16786555445449,91.78874831185533,33.620882757400835
GE-15 Chinese PH,0.0,1.5892481692314964,22.12718565649857,71.99429998921268,49.8671143327141
GE-15 Chinese PH,0.1,1.5892481692314964,22.12718565649857,71.99429998921268,49.8671143327141
GE-15 Chinese PH,0.2,1.5892481692314964,22.12718565649857,71.99429998921268,49.8671143327141
GE-15 Chinese PH,0.3,1.5892481692314964,22.12718565649857,71.99429998921268,49.8671143327141
GE-15 Chinese PH,0.5,1.5892481692314964,22.12718565649857,71.99429998921268,49.8671143327141
GE-15 Chinese PH,0.75,1.5892481692314964,22.12718565649857,71.99429998921268,49.8671143327141
GE-15 Chinese PH,1.0,1.5892481692314964,22.12718565649857,71.99429998921268,49.8671143327141
GE-15 Chinese PH,1.5,1.5892481692314964,22.12718565649857,71.99429998921268,49.8671143327141
GE-15 Chinese PH,2.0,2.0,20.83655282452804,75.85345371806042,55.01690089353237
GE-15 Chinese PH,3.0,3.0,20.836400182655638,76.93649380409558,56.10009362143994
GE-15 Chinese PH,inf,inf,20.836400182655638,76.93649380409558,56.10009362143994
GE-15 Chinese BN,0.0,0.7493386405181522,0.8862520313691582,19.644494719445284,18.758242688076127
GE-15 Chinese BN,0.1,0.7493386405181522,0.8862520313691582,19.644494719445284,18.758242688076127
GE-15 Chinese BN,0.2,0.7493386405181522,0.8862520313691582,19.644494719445284,18.758242688076127
GE-15 Chinese BN,0.3,0.7493386405181522,0.8862520313691582,19.644494719445284,18.758242688076127
GE-15 Chinese BN,0.5,0.7493386405181522,0.8862520313691582,19.644494719445284,18.758242688076127
GE-15 Chinese BN,0.75,0.75,0.8830401605395645,19.65288410781089,18.76984394727133
GE-15 Chinese BN,1.0,1.0,0.5789307972835187,22.648936306692928,22.070005509409405
GE-15 Chinese BN,1.5,1.5,0.5789307972835187,27.20756628038809,26.628635483104574
GE-15 Chinese BN,2.0,2.0,0.5789307972835187,29.790029594485972,29.211098797202457
GE-15 Chinese BN,3.0,3.0,0.5789307972835187,30.8742240784335,30.29529328114998
GE-15 Chinese BN,inf,inf,0.5789307972835187,30.8742240784335,30.29529328114998
GE-15 Chinese turnout,0.0,0.9219254884493624,51.49332112379182,85.21904568330076,33.72572455950894
GE-15 Chinese turnout,0.1,0.9219254884493624,51.49332112379182,85.21904568330076,33.72572455950894
GE-15 Chinese turnout,0.2,0.9219254884493624,51.49332112379182,85.21904568330076,33.72572455950894
GE-15 Chinese turnout,0.3,0.9219254884493624,51.49332112379182,85.21904568330076,33.72572455950894
GE-15 Chinese turnout,0.5,0.9219254884493624,51.49332112379182,85.21904568330076,33.72572455950894
GE-15 Chinese turnout,0.75,0.9219254884493624,51.49332112379182,85.21904568330076,33.72572455950894
GE-15 Chinese turnout,1.0,1.0,50.66307649546944,87.0191533379576,36.35607684248817
GE-15 Chinese turnout,1.5,1.5,47.6637808127351,93.67758672565787,46.01380591292277
GE-15 Chinese turnout,2.0,2.0,46.877891256575055,94.29232408448031,47.41443282790526
GE-15 Chinese turnout,3.0,3.0,46.872230713253586,94.29232408448031,47.42009337122673
GE-15 Chinese turnout,inf,inf,46.872230713253586,94.29232408448031,47.42009337122673
SE-16 Malay BN,0.0,1.1710948557506191,40.95407111969481,70.61084756518389,29.656776445489076
SE-16 Malay BN,0.1,1.1710948557506191,40.95407111969481,70.61084756518389,29.656776445489076
SE-16 Malay BN,0.2,1.1710948557506191,40.95407111969481,70.61084756518389,29.656776445489076
SE-16 Malay BN,0.3,1.1710948557506191,40.95407111969481,70.61084756518389,29.656776445489076
SE-16 Malay BN,0.5,1.1710948557506191,40.95407111969481,70.61084756518389,29.656776445489076
SE-16 Malay BN,0.75,1.1710948557506191,40.95407111969481,70.61084756518389,29.656776445489076
SE-16 Malay BN,1.0,1.1710948557506191,40.95407111969481,70.61084756518389,29.656776445489076
SE-16 Malay BN,1.5,1.5,37.07067599418982,71.67980278148185,34.60912678729204
SE-16 Malay BN,2.0,2.0,34.40011918625175,71.95709204738947,37.55697286113771
SE-16 Malay BN,3.0,3.0,34.28272424748912,71.95713744026524,37.67441319277612
SE-16 Malay BN,inf,inf,34.28272424748912,71.95713744026524,37.67441319277612
SE-16 Malay PN,0.0,1.0389877890867123,3.6309367235006227,11.162448690518357,7.531511967017734
SE-16 Malay PN,0.1,1.0389877890867123,3.6309367235006227,11.162448690518357,7.531511967017734
SE-16 Malay PN,0.2,1.0389877890867123,3.6309367235006227,11.162448690518357,7.531511967017734
SE-16 Malay PN,0.3,1.0389877890867123,3.6309367235006227,11.162448690518357,7.531511967017734
SE-16 Malay PN,0.5,1.0389877890867123,3.6309367235006227,11.162448690518357,7.531511967017734
SE-16 Malay PN,0.75,1.0389877890867123,3.6309367235006227,11.162448690518357,7.531511967017734
SE-16 Malay PN,1.0,1.0389877890867123,3.6309367235006227,11.162448690518357,7.531511967017734
SE-16 Malay PN,1.5,1.5,3.581376526433379,11.197909706554423,7.616533180121044
SE-16 Malay PN,2.0,2.0,3.581376526433379,11.198184681389264,7.616808154955885
SE-16 Malay PN,3.0,3.0,3.581376526433379,11.198184681389264,7.616808154955885
SE-16 Malay PN,inf,inf,3.581376526433379,11.198184681389264,7.616808154955885
SE-16 Malay turnout,0.0,1.06097911641192,59.11210730279697,86.49808450703921,27.38597720424224
SE-16 Malay turnout,0.1,1.06097911641192,59.11210730279697,86.49808450703921,27.38597720424224
SE-16 Malay turnout,0.2,1.06097911641192,59.11210730279697,86.49808450703921,27.38597720424224
SE-16 Malay turnout,0.3,1.06097911641192,59.11210730279697,86.49808450703921,27.38597720424224
SE-16 Malay turnout,0.5,1.06097911641192,59.11210730279697,86.49808450703921,27.38597720424224
SE-16 Malay turnout,0.75,1.06097911641192,59.11210730279697,86.49808450703921,27.38597720424224
SE-16 Malay turnout,1.0,1.06097911641192,59.11210730279697,86.49808450703921,27.38597720424224
SE-16 Malay turnout,1.5,1.5,54.99100815761414,89.65263420156366,34.661626043949525
SE-16 Malay turnout,2.0,2.0,52.9981997751857,89.87250195408483,36.87430217889913
SE-16 Malay turnout,3.0,3.0,52.73085920870173,89.87250195408483,37.141642745383095
SE-16 Malay turnout,inf,inf,52.73085920870173,89.87250195408483,37.141642745383095
