dun,group,third,V,pc_Malay,pc_Chinese,turnout,BN_sh,PH_sh,PN_sh,BERSAMA_sh,OTHER_sh,BN_sh_g15,PH_sh_g15,PN_sh_g15,turnout_g15,dBN,dPH,dPN,dTO
N.01 Buloh Kasap,PN stood down (23),-,28958,56.7,31.4,67.3,71.9,28.1,0.0,0.0,0.0,42.4,36.9,18.9,73.6,29.4,-8.8,-18.9,-6.3
N.02 Jementah,PN contested (33),-,39807,40.5,50.8,64.8,45.9,44.4,9.7,0.0,0.0,28.8,54.9,14.1,70.8,17.1,-10.6,-4.4,-6.1
N.03 Pemanis,PN contested (33),-,30458,63.5,32.6,69.8,67.8,29.1,3.1,0.0,0.0,38.1,36.0,24.6,74.9,29.7,-7.0,-21.5,-5.1
N.04 Kemelah,PN contested (33),-,35365,54.9,38.2,66.2,50.5,34.6,14.9,0.0,0.0,33.0,42.9,23.3,73.4,17.5,-8.3,-8.4,-7.2
N.05 Tenang,PN contested (33),BEBAS,22610,49.6,36.8,64.3,55.9,33.3,9.7,0.0,1.1,38.5,42.9,18.6,70.2,17.4,-9.6,-8.9,-5.9
N.06 Bekok,PN stood down (23),-,27269,29.9,47.5,59.4,63.0,37.0,0.0,0.0,0.0,37.3,50.4,12.3,67.8,25.7,-13.4,-12.3,-8.4
N.07 Bukit Kepong,PN contested (33),-,37604,70.5,25.3,70.7,61.3,17.6,21.1,0.0,0.0,31.4,22.2,46.3,75.8,29.9,-4.7,-25.2,-5.2
N.08 Bukit Pasir,PN contested (33),-,34113,62.7,32.6,72.0,57.3,27.0,15.7,0.0,0.0,20.8,34.3,45.0,77.5,36.6,-7.3,-29.3,-5.5
N.09 Gambir,PN contested (33),-,30289,60.0,35.7,72.3,60.8,30.6,8.6,0.0,0.0,33.5,37.3,28.5,77.0,27.4,-6.8,-19.9,-4.6
N.10 Tangkak,PN stood down (23),-,36664,40.8,47.1,66.9,55.9,44.1,0.0,0.0,0.0,25.0,55.1,19.3,73.9,30.8,-11.0,-19.3,-7.0
N.11 Serom,PN contested (33),-,40141,67.4,30.9,71.0,59.9,27.4,12.7,0.0,0.0,30.2,35.1,34.1,76.3,29.7,-7.7,-21.3,-5.3
N.12 Bentayan,PN stood down (23),-,34182,27.0,70.0,63.6,35.7,64.3,0.0,0.0,0.0,17.5,67.0,13.7,71.4,18.2,-2.7,-13.7,-7.8
N.13 Simpang Jeram,PN contested (33),MUDA,41975,52.0,44.7,69.6,40.2,41.3,13.5,0.0,5.0,22.8,46.9,27.1,74.8,17.4,-5.7,-13.6,-5.1
N.14 Bukit Naning,PN contested (33),BEBAS+BERSAMA,22075,62.6,36.0,74.6,53.1,32.1,10.4,0.8,3.6,32.7,35.4,29.5,77.4,20.4,-3.3,-19.0,-2.9
N.15 Maharani,PN contested (33),MUDA,39416,61.5,35.4,67.2,38.7,31.1,20.9,0.0,9.3,21.3,44.2,34.5,74.0,17.4,-13.0,-13.7,-6.8
N.16 Sungai Balang,PN contested (33),-,31015,73.8,25.1,73.2,60.7,21.9,17.4,0.0,0.0,34.1,30.9,35.0,77.3,26.6,-9.0,-17.6,-4.1
N.17 Semerah,PN contested (33),-,47416,75.3,23.3,72.9,66.8,21.9,11.3,0.0,0.0,37.6,28.3,34.1,76.7,29.3,-6.4,-22.9,-3.8
N.18 Sri Medan,PN contested (33),-,33842,90.0,8.1,78.1,75.5,8.4,16.1,0.0,0.0,45.0,12.5,42.4,80.1,30.5,-4.2,-26.3,-2.0
N.19 Yong Peng,PN stood down (23),-,33978,35.2,56.8,66.7,60.0,40.0,0.0,0.0,0.0,36.1,50.7,13.2,72.4,23.9,-10.7,-13.2,-5.7
N.20 Semarang,PN contested (33),-,28737,86.3,12.0,77.2,78.0,9.9,12.1,0.0,0.0,45.1,16.6,38.3,79.7,32.9,-6.7,-26.2,-2.4
N.21 Parit Yaani,PN stood down (23),-,44724,55.2,42.8,70.5,61.7,38.3,0.0,0.0,0.0,28.4,45.4,25.8,76.1,33.3,-7.1,-25.8,-5.6
N.22 Parit Raja,PN contested (33),-,38072,74.9,22.6,74.3,69.1,21.7,9.1,0.0,0.0,34.3,30.3,34.8,78.4,34.8,-8.6,-25.7,-4.0
N.23 Penggaram,PN stood down (23),-,69771,36.2,60.8,63.8,45.2,54.8,0.0,0.0,0.0,15.2,62.2,22.0,70.8,30.0,-7.4,-22.0,-7.0
N.24 Senggarang,PN contested (33),-,37988,61.2,35.5,71.8,60.0,32.8,7.2,0.0,0.0,29.5,37.4,32.5,75.3,30.5,-4.6,-25.3,-3.5
N.25 Rengit,PN contested (33),-,27590,80.5,16.6,74.4,72.0,19.6,8.4,0.0,0.0,37.4,20.7,41.2,76.4,34.6,-1.1,-32.8,-2.0
N.26 Machap,PN stood down (23),-,35178,66.0,27.0,72.0,80.1,19.9,0.0,0.0,0.0,41.8,35.3,22.3,75.3,38.3,-15.4,-22.3,-3.3
N.27 Layang-Layang,PN contested (33),-,24529,56.1,29.0,67.8,67.2,21.5,11.3,0.0,0.0,40.1,41.6,17.8,71.8,27.0,-20.0,-6.5,-4.0
N.28 Mengkibol,PN stood down (23),-,68422,30.3,55.9,63.2,44.7,55.3,0.0,0.0,0.0,18.5,65.5,15.6,70.2,26.2,-10.2,-15.6,-7.1
N.29 Mahkota,PN stood down (23),BERSAMA,62392,53.3,36.2,64.6,63.1,33.3,0.0,3.6,0.0,28.7,44.2,26.6,70.4,34.4,-10.9,-26.6,-5.7
