election,short,dim,group,party,share_of_registered,turnout,share_of_voters,error,lo,hi,se_sampling,rmse_ident,cite
jhr_se15,SE-15,ethnicity,Malay,BN,0.3593590325895575,0.62741050658994,0.5727654044920635,0.06729969893746242,0.505465705554601,0.6400651034295259,0.013709336988583228,0.031481024130749526,False
jhr_se15,SE-15,ethnicity,Malay,PH,0.0247290748664971,0.62741050658994,0.039414505505977145,0.023534997961091778,0.015879507544885367,0.06294950346706893,0.005415730642538941,0.010716975723778338,True
jhr_se15,SE-15,ethnicity,Malay,PN,0.2177274546406811,0.62741050658994,0.34702551575691476,0.07037407494851895,0.2766514408083958,0.4173995907054337,0.012175130076778574,0.03377788190709571,False
jhr_se15,SE-15,ethnicity,Chinese,BN,0.0559301308803097,0.4453909423900344,0.12557536662101895,0.08698708011850265,0.038588286502516306,0.2125624467395216,0.016531425444263118,0.041187372226559264,False
jhr_se15,SE-15,ethnicity,Chinese,PH,0.3170208911637606,0.4453909423900344,0.7117811814101541,0.12192445926855297,0.5898567221416011,0.8337056406787071,0.04676682500461727,0.041018226455357125,False
jhr_se15,SE-15,ethnicity,Chinese,PN,0.0105650372464381,0.4453909423900344,0.023720817468232583,0.07230401785256484,0.0,0.09602483532079742,0.004576884941703964,0.03660477891132671,False
jhr_se15,SE-15,ethnicity,Indian,BN,0.1114586675793346,0.3401856528783376,0.3276407062916206,0.34572927139094517,0.0,0.6733699776825658,0.07841617048353225,0.15800383892025188,False
jhr_se15,SE-15,ethnicity,Indian,PH,0.1207380741055182,0.3401856528783376,0.35491818389148355,0.2956378028461914,0.05928038104529215,0.6505559867376749,0.12862365173022408,0.07878666495634669,False
jhr_se15,SE-15,ethnicity,Indian,PN,0.0217984614340101,0.3401856528783376,0.06407813277712215,0.24121897784691096,0.0,0.3052971106240331,0.034582152346355935,0.11811233172211054,False
jhr_se15,SE-15,ethnicity,Other,BN,0.1534897198948967,0.3755631420378559,0.40869218172486504,0.3727475027865114,0.035944678938353625,0.7814396845113765,0.1061390057121651,0.15780340899359993,False
jhr_se15,SE-15,ethnicity,Other,PH,0.0286132292297092,0.3755631420378559,0.07618753287250178,0.1051664326050558,0.0,0.18135396547755758,0.043493645762086024,0.03142142486032541,False
jhr_se15,SE-15,ethnicity,Other,PN,0.1514668188623608,0.3755631420378559,0.40330586766444,0.39585423933177466,0.007451628332665328,0.7991601069962146,0.10916509502497274,0.16992183027469243,False
jhr_se15,SE-15,age,18-29,BN,0.212933748080476,0.5144746650684232,0.41388578007462545,0.05229133917297025,0.3615944409016552,0.4661771192475957,0.01427083282018065,0.022541649471664482,False
jhr_se15,SE-15,age,18-29,PH,0.1151762615629913,0.5144746650684232,0.22387159054308978,0.051880309857706496,0.17199128068538327,0.2757519004007963,0.021737974063442193,0.015102891805821875,False
jhr_se15,SE-15,age,18-29,PN,0.141985620925582,0.5144746650684232,0.2759817549163445,0.04508565106245368,0.23089610385389084,0.3210674059787982,0.01242397580663708,0.019359169931711027,True
jhr_se15,SE-15,age,30-39,BN,0.1991329740836317,0.4654411109677245,0.4278370977363887,0.06661593020126222,0.3612211675351265,0.49445302793765095,0.013973614726787598,0.03098230410457127,False
jhr_se15,SE-15,age,30-39,PH,0.0970553954765947,0.4654411109677245,0.20852346986453651,0.05645649801157973,0.15206697185295678,0.2649799678761162,0.019020738991653994,0.021631025044897955,False
jhr_se15,SE-15,age,30-39,PN,0.1377035918522205,0.4654411109677245,0.2958560999605585,0.046585492910388396,0.24927060705017012,0.3424415928709469,0.012129360615494035,0.020440195664420322,True
jhr_se15,SE-15,age,40-49,BN,0.2002423376316395,0.5202175214260691,0.3849204023015534,0.03122229401203886,0.35369810828951453,0.41614269631359224,0.014788646927511813,0.005920523391905549,True
jhr_se15,SE-15,age,40-49,PH,0.1418324216866714,0.5202175214260691,0.27264060867820644,0.050043348458449585,0.22259726021975684,0.32268395713665604,0.02510227940907712,0.004666365377667975,False
jhr_se15,SE-15,age,40-49,PN,0.1347097062961555,0.5202175214260691,0.25894880650478014,0.02524215570336239,0.23370665080141775,0.28419096220814255,0.011737659375147919,0.005299717030201239,True
jhr_se15,SE-15,age,50-59,BN,0.2467655069838533,0.6233960496901847,0.3958406651862661,0.027555479093145884,0.3682851860931202,0.42339614427941197,0.013824185869001967,0.002558331039844547,True
jhr_se15,SE-15,age,50-59,PH,0.1913181111357366,0.6233960496901847,0.3068965727819704,0.051301161226907546,0.2555954115550629,0.35819773400887794,0.02607954105504056,0.0022223978289942613,False
