election,group,estimand,miss,n_pure,thr
jhr_se15,Malay,turnout,0.01837811881161111,949,0.9
jhr_se15,Malay,BN,0.02421117740775902,949,0.9
jhr_se15,Malay,PH,0.0031819432620230487,949,0.9
jhr_se15,Malay,PN,0.005468562010609662,949,0.9
jhr_se15,Malay,BN_v,0.0,949,0.9
jhr_se15,Malay,PH_v,0.006612528662448346,949,0.9
jhr_se15,Malay,PN_v,0.019316711672563658,949,0.9
jhr_se15,Chinese,turnout,0.009671322480291289,163,0.9
jhr_se15,Chinese,BN,0.0,163,0.9
jhr_se15,Chinese,PH,0.0,163,0.9
jhr_se15,Chinese,PN,0.0,163,0.9
jhr_se15,Chinese,BN_v,0.0,163,0.9
jhr_se15,Chinese,PH_v,0.0,163,0.9
jhr_se15,Chinese,PN_v,0.0,163,0.9
jhr_se15,18-29,turnout,0.0,594,0.9
jhr_se15,18-29,BN,0.017159355757318584,594,0.9
jhr_se15,18-29,PH,0.0017810486163253314,594,0.9
jhr_se15,18-29,PN,0.0017676544334037092,594,0.9
jhr_se15,18-29,BN_v,0.03127355734490678,594,0.9
jhr_se15,18-29,PH_v,0.0026240363222158614,594,0.9
jhr_se15,18-29,PN_v,0.001699988240896011,594,0.9
jhr_se15,30-39,turnout,0.0,246,0.9
jhr_se15,30-39,BN,0.0,246,0.9
jhr_se15,30-39,PH,0.0,246,0.9
jhr_se15,30-39,PN,0.0,246,0.9
jhr_se15,30-39,BN_v,0.0,246,0.9
jhr_se15,30-39,PH_v,0.0,246,0.9
jhr_se15,30-39,PN_v,0.0,246,0.9
jhr_se15,40-49,turnout,0.002223366661366466,159,0.9
jhr_se15,40-49,BN,0.006146313910710466,159,0.9
jhr_se15,40-49,PH,0.004725781999532996,159,0.9
jhr_se15,40-49,PN,0.0009406250354193485,159,0.9
jhr_se15,40-49,BN_v,0.0,159,0.9
jhr_se15,40-49,PH_v,0.0,159,0.9
jhr_se15,40-49,PN_v,0.0,159,0.9
jhr_se15,50-59,turnout,0.005230733475477201,116,0.9
jhr_se15,50-59,BN,0.00924849958595983,116,0.9
jhr_se15,50-59,PH,0.004723657771014356,116,0.9
jhr_se15,50-59,PN,0.002552592798815201,116,0.9
jhr_se15,50-59,BN_v,0.0,116,0.9
jhr_se15,50-59,PH_v,0.0,116,0.9
jhr_se15,50-59,PN_v,0.0,116,0.9
jhr_se15,60-69,turnout,0.005916977191730566,97,0.9
jhr_se15,60-69,BN,0.012315476100964312,97,0.9
jhr_se15,60-69,PH,0.0002982129232392272,97,0.9
jhr_se15,60-69,PN,0.0012707050774485584,97,0.9
jhr_se15,60-69,BN_v,0.001756927952539511,97,0.9
jhr_se15,60-69,PH_v,0.004347140069798305,97,0.9
jhr_se15,60-69,PN_v,0.0,97,0.9
jhr_se15,70+,turnout,0.021498141464521836,56,0.9
jhr_se15,70+,BN,0.03486099694224601,56,0.9
jhr_se15,70+,PH,0.0,56,0.9
jhr_se15,70+,PN,0.0021917172454345712,56,0.9
jhr_se15,70+,BN_v,0.030806061056827816,56,0.9
jhr_se15,70+,PH_v,0.0,56,0.9
jhr_se15,70+,PN_v,0.0,56,0.9
ge15,Malay,turnout,0.008272731137054068,953,0.9
ge15,Malay,BN,0.031708649668699795,953,0.9
ge15,Malay,PH,0.0041140488939788444,953,0.9
ge15,Malay,PN,0.018827061932143563,953,0.9
ge15,Malay,BN_v,0.014283925080050774,953,0.9
ge15,Malay,PH_v,0.006327330176432042,953,0.9
ge15,Malay,PN_v,0.028967046815520925,953,0.9
ge15,Chinese,turnout,0.0,162,0.9
ge15,Chinese,BN,0.0,162,0.9
ge15,Chinese,PH,0.0,162,0.9
ge15,Chinese,PN,0.0,162,0.9
ge15,Chinese,BN_v,0.0,162,0.9
ge15,Chinese,PH_v,0.0,162,0.9
ge15,Chinese,PN_v,0.0,162,0.9
ge15,18-29,turnout,0.016137920580955978,636,0.9
ge15,18-29,BN,0.028211030477167304,636,0.9
ge15,18-29,PH,0.031237362332424135,636,0.9
ge15,18-29,PN,0.007856838085273127,636,0.9
ge15,18-29,BN_v,0.04393232347370618,636,0.9
ge15,18-29,PH_v,0.030312808495888965,636,0.9
ge15,18-29,PN_v,0.0012237894713773012,636,0.9
ge15,30-39,turnout,0.0,238,0.9
ge15,30-39,BN,0.0,238,0.9
ge15,30-39,PH,0.0,238,0.9
ge15,30-39,PN,0.0,238,0.9
ge15,30-39,BN_v,0.0,238,0.9
ge15,30-39,PH_v,0.0,238,0.9
ge15,30-39,PN_v,0.0,238,0.9
ge15,40-49,turnout,0.007594273769784166,166,0.9
ge15,40-49,BN,0.006586234414435954,166,0.9
ge15,40-49,PH,0.013330073847718282,166,0.9
ge15,40-49,PN,0.0,166,0.9
ge15,40-49,BN_v,0.011409240480076327,166,0.9
ge15,40-49,PH_v,0.0,166,0.9
ge15,40-49,PN_v,0.0,166,0.9
ge15,50-59,turnout,0.0,118,0.9
ge15,50-59,BN,0.015085427611075675,118,0.9
ge15,50-59,PH,0.0016856323980142252,118,0.9
ge15,50-59,PN,0.0,118,0.9
ge15,50-59,BN_v,0.01640571337884672,118,0.9
ge15,50-59,PH_v,0.0,118,0.9
ge15,50-59,PN_v,0.0,118,0.9
ge15,60-69,turnout,0.0,109,0.9
ge15,60-69,BN,0.008150960844061583,109,0.9
ge15,60-69,PH,0.0,109,0.9
ge15,60-69,PN,0.0,109,0.9
ge15,60-69,BN_v,0.0061214603384711075,109,0.9
ge15,60-69,PH_v,0.0,109,0.9
ge15,60-69,PN_v,0.0,109,0.9
ge15,70+,turnout,0.025516505834362158,48,0.9
ge15,70+,BN,0.022579869821307955,48,0.9
ge15,70+,PH,0.00342263426320516,48,0.9
ge15,70+,PN,0.0,48,0.9
ge15,70+,BN_v,0.005156775183370127,48,0.9
ge15,70+,PH_v,0.0,48,0.9
ge15,70+,PN_v,0.0,48,0.9
jhr_se16,Malay,turnout,0.013821798253989326,1013,0.9
jhr_se16,Malay,BN,0.0,1013,0.9
jhr_se16,Malay,PH,0.0,1013,0.9
jhr_se16,Malay,PN,0.0,1013,0.9
jhr_se16,Malay,BN_v,0.0,1013,0.9
jhr_se16,Malay,PH_v,0.0,1013,0.9
jhr_se16,Malay,PN_v,0.0,1013,0.9
jhr_se16,Chinese,turnout,0.0,154,0.9
jhr_se16,Chinese,BN,0.0,154,0.9
jhr_se16,Chinese,PH,0.0,154,0.9
jhr_se16,Chinese,PN,0.0,154,0.9
jhr_se16,Chinese,BN_v,0.0,154,0.9
jhr_se16,Chinese,PH_v,0.0,154,0.9
jhr_se16,Chinese,PN_v,0.0,154,0.9
jhr_se16,18-29,turnout,0.006951496951171587,573,0.9
jhr_se16,18-29,BN,0.00027310876438657594,573,0.9
jhr_se16,18-29,PH,0.0,573,0.9
jhr_se16,18-29,PN,0.013076531854191782,573,0.9
jhr_se16,18-29,BN_v,0.0,573,0.9
jhr_se16,18-29,PH_v,0.0,573,0.9
jhr_se16,18-29,PN_v,0.01886845890791869,573,0.9
jhr_se16,30-39,turnout,0.0,281,0.9
jhr_se16,30-39,BN,0.0009062798793867954,281,0.9
jhr_se16,30-39,PH,0.0,281,0.9
jhr_se16,30-39,PN,0.004483724080707612,281,0.9
jhr_se16,30-39,BN_v,0.0,281,0.9
jhr_se16,30-39,PH_v,0.0,281,0.9
jhr_se16,30-39,PN_v,0.006637385371565906,281,0.9
jhr_se16,40-49,turnout,0.006759821751632367,191,0.9
jhr_se16,40-49,BN,0.0,191,0.9
jhr_se16,40-49,PH,0.0,191,0.9
jhr_se16,40-49,PN,0.014358752176989849,191,0.9
jhr_se16,40-49,BN_v,0.0,191,0.9
jhr_se16,40-49,PH_v,0.0,191,0.9
jhr_se16,40-49,PN_v,0.021852171791444504,191,0.9
jhr_se16,50-59,turnout,0.0,110,0.9
jhr_se16,50-59,BN,0.009692939137731504,110,0.9
jhr_se16,50-59,PH,0.0,110,0.9
jhr_se16,50-59,PN,0.0,110,0.9
jhr_se16,50-59,BN_v,0.010521244647281436,110,0.9
jhr_se16,50-59,PH_v,0.0,110,0.9
jhr_se16,50-59,PN_v,0.0,110,0.9
jhr_se16,60-69,turnout,0.0,102,0.9
jhr_se16,60-69,BN,0.008258035795835339,102,0.9
jhr_se16,60-69,PH,0.0,102,0.9
jhr_se16,60-69,PN,0.005742726220314291,102,0.9
jhr_se16,60-69,BN_v,0.0,102,0.9
jhr_se16,60-69,PH_v,0.0,102,0.9
jhr_se16,60-69,PN_v,0.006622855974189799,102,0.9
jhr_se16,70+,turnout,0.0,81,0.9
jhr_se16,70+,BN,0.01751291838334204,81,0.9
jhr_se16,70+,PH,0.0,81,0.9
jhr_se16,70+,PN,0.0008399344743377614,81,0.9
jhr_se16,70+,BN_v,0.008352189202907423,81,0.9
jhr_se16,70+,PH_v,0.0,81,0.9
jhr_se16,70+,PN_v,0.0006040534407763202,81,0.9
jhr_se15,Malay,turnout,0.03630601654600629,656,0.95
jhr_se15,Malay,BN,0.05392598577393565,656,0.95
jhr_se15,Malay,PH,0.007236771008556429,656,0.95
jhr_se15,Malay,PN,0.008178415069852396,656,0.95
jhr_se15,Malay,BN_v,0.034935712818712994,656,0.95
jhr_se15,Malay,PH_v,0.013946310042405659,656,0.95
jhr_se15,Malay,PN_v,0.03275781181990389,656,0.95
jhr_se15,Chinese,turnout,0.03298505819888636,76,0.95
jhr_se15,Chinese,BN,0.0,76,0.95
jhr_se15,Chinese,PH,0.0,76,0.95
jhr_se15,Chinese,PN,0.0,76,0.95
jhr_se15,Chinese,BN_v,0.0,76,0.95
jhr_se15,Chinese,PH_v,0.0,76,0.95
jhr_se15,Chinese,PN_v,0.0,76,0.95
jhr_se15,18-29,turnout,0.0,562,0.95
jhr_se15,18-29,BN,0.016912200263004468,562,0.95
